"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2020-21","School","601","Appling County","0103","Appling County High School","09,10,11,12",1004,"18","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","14","78","TFS","TFS"
"2020-21","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",468,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","601","Appling County","0195","Appling County Middle School","06,07,08",823,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",494,"17","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","15","88","TFS","TFS"
"2020-21","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",353,"11","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",126,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3268,"55","TFS","TFS","TFS","TFS","14","26","15","27","TFS","TFS","23","42","37","67","18","33"
"2020-21","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",466,"10","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",368,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",151,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
