SCHOOL_YEAR,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE,FTE_COUNT
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Debt Services,22441795.23,13.54,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,General Administration,325932962.1,196.7,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instruction,8720325723,5262.74,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instructional Support,507903056.9,306.52,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1140352500,688.21,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Media,240896589.2,145.38,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Pupil Services,393249307.6,237.33,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,2578590.3,1.56,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School Administration,894937025.1,540.1,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School food Services,2570086.68,1.55,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Transportation,712894350.8,430.23,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Federal,54057827,32.62,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Local,5804337735,3502.94,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Other,27880944.39,16.83,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Lottery,0,0,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Other,245558241.4,148.2,1656992
2011-12,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State QBE,6696634807,4041.44,1656992
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,General Administration,693917.1,206.34,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instruction,17572757.05,5225.32,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instructional Support,540754.69,160.8,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,2499299.73,743.18,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Media,470755.37,139.98,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Pupil Services,743713.84,221.15,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,School Administration,1457005.57,433.25,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,School food Services,0,0,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Expenditures,Transportation,1778474.12,528.84,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Revenues,Federal,8791,2.61,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Revenues,Local,10432254,3102.07,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Revenues,Other,73769,21.94,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Revenues,State Lottery,0,0,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Revenues,State Other,773767.49,230.08,3363
2011-12,601,Appling County,ALL,All Column Values,K-12 Revenues,State QBE,15790885.8,4695.48,3363
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Debt Services,0,0,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,General Administration,0,0,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instruction,2052811.81,6002.37,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instructional Support,5880.6,17.19,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Maintenance and Operations,145483.77,425.39,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Media,95892.83,280.39,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Pupil Services,58242.87,170.3,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School Administration,193105.49,564.64,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School food Services,0,0,342
2011-12,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Transportation,0,0,342
