"SCHOOL_YEAR","DISTRICT_CODE","DISTRICT_NAME","SCHOOL_CODE","SCHOOL_NAME","Revenues/Expenditures","Description","REV_EXP_VALUE","Dollars per FTE","FTE_COUNT"
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Debt Services",25066324.16,14.74,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","General Administration",316215874.5,185.93,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Instruction",8747310662.94,5143.4,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Instructional Support",462601284.09,272.01,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Maintenance and Operations",1178990752.24,693.24,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Media",229033223.39,134.67,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Pupil Services",415199059.96,244.14,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Renovation and Capital Projects",2223918.32,1.31,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","School Administration",913067073.85,536.88,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","School food Services",7930576.39,4.66,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Expenditures","Transportation",749726882.72,440.84,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Revenues","Federal",43508612.92,25.58,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Revenues","Local",5847421219.03,3438.27,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Revenues","Other",29810736.22,17.53,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Revenues","State Lottery",0,0,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Revenues","State Other",116834059.91,68.7,1700688
"2013-14","ALL","All Column Values","ALL","All Column Values","K-12 Revenues","State QBE",7178264468.58,4220.8,1700688
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Debt Services",0,0,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","General Administration",712626.1,206.92,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Instruction",18936883.27,5498.51,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Instructional Support",1065537.28,309.39,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Maintenance and Operations",2443660.89,709.54,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Media",490265.76,142.35,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Pupil Services",822170.1,238.73,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Renovation and Capital Projects",0,0,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","School Administration",1502735.96,436.33,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","School food Services",25240.29,7.33,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Expenditures","Transportation",1828539.77,530.93,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Revenues","Federal",0,0,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Revenues","Local",12420177.73,3606.32,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Revenues","Other",0,0,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Revenues","State Lottery",0,0,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Revenues","State Other",450841.51,130.91,3444
"2013-14","601","Appling County","ALL","All Column Values","K-12 Revenues","State QBE",15178709,4407.29,3444
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Debt Services",0,0,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","General Administration",0,0,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Instruction",2019411.76,6082.57,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Instructional Support",5081.16,15.3,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Maintenance and Operations",171158.71,515.54,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Media",104257.27,314.03,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Pupil Services",65437.22,197.1,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Renovation and Capital Projects",0,0,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","School Administration",187023.75,563.32,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","School food Services",0,0,332
"2013-14","601","Appling County","1050","Altamaha Elementary School","K-12 Expenditures","Transportation",0,0,332
"2013-14","601","Appling County","0177","Appling County Elementary School","K-12 Expenditures","Debt Services",0,0,556
"2013-14","601","Appling County","0177","Appling County Elementary School","K-12 Expenditures","General Administration",0,0,556
"2013-14","601","Appling County","0177","Appling County Elementary School","K-12 Expenditures","Instruction",2779160.88,4998.49,556
"2013-14","601","Appling County","0177","Appling County Elementary School","K-12 Expenditures","Instructional Support",3873.92,6.97,556
"2013-14","601","Appling County","0177","Appling County Elementary School","K-12 Expenditures","Maintenance and Operations",253043.11,455.11,556
"2013-14","601","Appling County","0177","Appling County Elementary School","K-12 Expenditures","Media",88713.55,159.56,556
"2013-14","601","Appling County","0177","Appling County Elementary School","K-12 Expenditures","Pupil Services",70385.44,126.59,556
