LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2011-12,601,Appling County,103,Appling County High School,All Students,Combined,1284459,86367,122,122,1342,1242,1242
2011-12,601,Appling County,103,Appling County High School,All Students,Mathematics,1284459,86883,123,123,491,446,446
2011-12,601,Appling County,103,Appling County High School,All Students,Reading,1284459,86895,122,122,488,455,455
2011-12,601,Appling County,103,Appling County High School,All Students,Writing,1284459,85322,122,122,364,341,341
2011-12,602,Atkinson County,103,Atkinson County High School,All Students,Combined,1284459,86367,34,34,1342,1312,1312
2011-12,602,Atkinson County,103,Atkinson County High School,All Students,Mathematics,1284459,86883,34,34,491,449,449
2011-12,602,Atkinson County,103,Atkinson County High School,All Students,Reading,1284459,86895,34,34,488,461,461
2011-12,602,Atkinson County,103,Atkinson County High School,All Students,Writing,1284459,85322,34,34,364,401,401
2011-12,603,Bacon County,302,Bacon County High School,All Students,Combined,1284459,86367,57,57,1342,1258,1258
2011-12,603,Bacon County,302,Bacon County High School,All Students,Mathematics,1284459,86883,57,57,491,483,483
2011-12,603,Bacon County,302,Bacon County High School,All Students,Reading,1284459,86895,57,57,488,461,461
2011-12,603,Bacon County,302,Bacon County High School,All Students,Writing,1284459,85322,57,57,364,314,314
2011-12,604,Baker County,105,Baker County K12 School,All Students,Combined,1284459,86367,TFS,TFS,1342,,
2011-12,604,Baker County,105,Baker County K12 School,All Students,Mathematics,1284459,86883,TFS,TFS,491,,
2011-12,604,Baker County,105,Baker County K12 School,All Students,Reading,1284459,86895,TFS,TFS,488,,
2011-12,604,Baker County,105,Baker County K12 School,All Students,Writing,1284459,85322,TFS,TFS,364,,
2011-12,605,Baldwin County,189,Baldwin High School,All Students,Combined,1284459,86367,208,208,1342,1240,1240
2011-12,605,Baldwin County,189,Baldwin High School,All Students,Mathematics,1284459,86883,209,209,491,450,450
2011-12,605,Baldwin County,189,Baldwin High School,All Students,Reading,1284459,86895,209,209,488,443,443
2011-12,605,Baldwin County,189,Baldwin High School,All Students,Writing,1284459,85322,206,206,364,347,347
2011-12,606,Banks County,199,Banks County High School,All Students,Combined,1284459,86367,95,95,1342,1309,1309
2011-12,606,Banks County,199,Banks County High School,All Students,Mathematics,1284459,86883,96,96,491,471,471
2011-12,606,Banks County,199,Banks County High School,All Students,Reading,1284459,86895,97,97,488,463,463
2011-12,606,Banks County,199,Banks County High School,All Students,Writing,1284459,85322,93,93,364,375,375
2011-12,607,Barrow County,101,Apalachee High School,All Students,Combined,1284459,86367,442,197,1342,1321,1326
2011-12,607,Barrow County,101,Apalachee High School,All Students,Mathematics,1284459,86883,442,197,491,469,469
2011-12,607,Barrow County,101,Apalachee High School,All Students,Reading,1284459,86895,444,198,488,483,486
2011-12,607,Barrow County,101,Apalachee High School,All Students,Writing,1284459,85322,439,196,364,369,371
2011-12,607,Barrow County,113,Snodon Preparatory School,All Students,Combined,1284459,86367,442,TFS,1342,1321,
2011-12,607,Barrow County,113,Snodon Preparatory School,All Students,Mathematics,1284459,86883,442,TFS,491,469,
2011-12,607,Barrow County,113,Snodon Preparatory School,All Students,Reading,1284459,86895,444,TFS,488,483,
2011-12,607,Barrow County,113,Snodon Preparatory School,All Students,Writing,1284459,85322,439,TFS,364,369,
2011-12,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined,1284459,86367,442,244,1342,1321,1316
2011-12,607,Barrow County,3052,Winder-Barrow High School,All Students,Mathematics,1284459,86883,442,244,491,469,469
2011-12,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1284459,86895,444,245,488,483,480
2011-12,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing,1284459,85322,439,242,364,369,367
2011-12,608,Bartow County,105,Adairsville High School,All Students,Combined,1284459,86367,390,82,1342,1351,1296
2011-12,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1284459,86883,389,81,491,493,490
2011-12,608,Bartow County,105,Adairsville High School,All Students,Reading,1284459,86895,394,83,488,491,473
2011-12,608,Bartow County,105,Adairsville High School,All Students,Writing,1284459,85322,387,81,364,366,333
2011-12,608,Bartow County,114,Cass High School,All Students,Combined,1284459,86367,390,111,1342,1351,1381
2011-12,608,Bartow County,114,Cass High School,All Students,Mathematics,1284459,86883,389,111,491,493,500
2011-12,608,Bartow County,114,Cass High School,All Students,Reading,1284459,86895,394,111,488,491,492
2011-12,608,Bartow County,114,Cass High School,All Students,Writing,1284459,85322,387,110,364,366,389
2011-12,608,Bartow County,198,Woodland High School,All Students,Combined,1284459,86367,390,198,1342,1351,1357
2011-12,608,Bartow County,198,Woodland High School,All Students,Mathematics,1284459,86883,389,197,491,493,491
2011-12,608,Bartow County,198,Woodland High School,All Students,Reading,1284459,86895,394,200,488,491,499
2011-12,608,Bartow County,198,Woodland High School,All Students,Writing,1284459,85322,387,196,364,366,367
2011-12,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined,1284459,86367,88,88,1342,1205,1205
2011-12,609,Ben Hill County,291,Fitzgerald High School,All Students,Mathematics,1284459,86883,89,89,491,431,431
2011-12,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading,1284459,86895,88,88,488,420,420
2011-12,609,Ben Hill County,291,Fitzgerald High School,All Students,Writing,1284459,85322,88,88,364,354,354
2011-12,610,Berrien County,101,Berrien High School,All Students,Combined,1284459,86367,108,106,1342,1258,1256
2011-12,610,Berrien County,101,Berrien High School,All Students,Mathematics,1284459,86883,107,105,491,454,455
2011-12,610,Berrien County,101,Berrien High School,All Students,Reading,1284459,86895,111,109,488,455,454
2011-12,610,Berrien County,101,Berrien High School,All Students,Writing,1284459,85322,107,105,364,350,347
2011-12,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Combined,1284459,86367,108,TFS,1342,1258,
2011-12,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Mathematics,1284459,86883,107,TFS,491,454,
2011-12,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Reading,1284459,86895,111,TFS,488,455,
2011-12,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Writing,1284459,85322,107,TFS,364,350,
2011-12,611,Bibb County,105,Howard High School,All Students,Combined,1284459,86367,1095,287,1342,1193,1246
2011-12,611,Bibb County,105,Howard High School,All Students,Mathematics,1284459,86883,1098,287,491,431,456
2011-12,611,Bibb County,105,Howard High School,All Students,Reading,1284459,86895,1105,288,488,435,461
2011-12,611,Bibb County,105,Howard High School,All Students,Writing,1284459,85322,1083,285,364,327,329
2011-12,611,Bibb County,186,Central High School,All Students,Combined,1284459,86367,1095,196,1342,1193,1246
2011-12,611,Bibb County,186,Central High School,All Students,Mathematics,1284459,86883,1098,197,491,431,448
2011-12,611,Bibb County,186,Central High School,All Students,Reading,1284459,86895,1105,197,488,435,458
2011-12,611,Bibb County,186,Central High School,All Students,Writing,1284459,85322,1083,193,364,327,340
2011-12,611,Bibb County,198,Westside High School,All Students,Combined,1284459,86367,1095,162,1342,1193,1111
2011-12,611,Bibb County,198,Westside High School,All Students,Mathematics,1284459,86883,1098,163,491,431,400
2011-12,611,Bibb County,198,Westside High School,All Students,Reading,1284459,86895,1105,164,488,435,400
2011-12,611,Bibb County,198,Westside High School,All Students,Writing,1284459,85322,1083,160,364,327,311
2011-12,611,Bibb County,204,Rutland High School,All Students,Combined,1284459,86367,1095,221,1342,1193,1254
2011-12,611,Bibb County,204,Rutland High School,All Students,Mathematics,1284459,86883,1098,222,491,431,454
2011-12,611,Bibb County,204,Rutland High School,All Students,Reading,1284459,86895,1105,223,488,435,457
2011-12,611,Bibb County,204,Rutland High School,All Students,Writing,1284459,85322,1083,217,364,327,343
2011-12,611,Bibb County,286,Northeast High School,All Students,Combined,1284459,86367,1095,90,1342,1193,1088
2011-12,611,Bibb County,286,Northeast High School,All Students,Mathematics,1284459,86883,1098,90,491,431,389
2011-12,611,Bibb County,286,Northeast High School,All Students,Reading,1284459,86895,1105,90,488,435,387
2011-12,611,Bibb County,286,Northeast High School,All Students,Writing,1284459,85322,1083,89,364,327,312
2011-12,611,Bibb County,303,William S. Hutchings Career Center,All Students,Combined,1284459,86367,1095,40,1342,1193,1077
2011-12,611,Bibb County,303,William S. Hutchings Career Center,All Students,Mathematics,1284459,86883,1098,40,491,431,382
2011-12,611,Bibb County,303,William S. Hutchings Career Center,All Students,Reading,1284459,86895,1105,41,488,435,396
2011-12,611,Bibb County,303,William S. Hutchings Career Center,All Students,Writing,1284459,85322,1083,40,364,327,299
2011-12,611,Bibb County,386,Southwest High School,All Students,Combined,1284459,86367,1095,100,1342,1193,1077
2011-12,611,Bibb County,386,Southwest High School,All Students,Mathematics,1284459,86883,1098,99,491,431,383
2011-12,611,Bibb County,386,Southwest High School,All Students,Reading,1284459,86895,1105,102,488,435,383
2011-12,611,Bibb County,386,Southwest High School,All Students,Writing,1284459,85322,1083,99,364,327,311
2011-12,612,Bleckley County,105,Bleckley County High School,All Students,Combined,1284459,86367,104,104,1342,1382,1382
2011-12,612,Bleckley County,105,Bleckley County High School,All Students,Mathematics,1284459,86883,104,104,491,513,513
2011-12,612,Bleckley County,105,Bleckley County High School,All Students,Reading,1284459,86895,106,106,488,495,495
2011-12,612,Bleckley County,105,Bleckley County High School,All Students,Writing,1284459,85322,103,103,364,374,374
2011-12,613,Brantley County,1050,Brantley County High School,All Students,Combined,1284459,86367,139,139,1342,1251,1251
2011-12,613,Brantley County,1050,Brantley County High School,All Students,Mathematics,1284459,86883,139,139,491,452,452
2011-12,613,Brantley County,1050,Brantley County High School,All Students,Reading,1284459,86895,139,139,488,454,454
2011-12,613,Brantley County,1050,Brantley County High School,All Students,Writing,1284459,85322,139,139,364,345,345
2011-12,614,Brooks County,110,Brooks County High School,All Students,Combined,1284459,86367,42,42,1342,1255,1255
2011-12,614,Brooks County,110,Brooks County High School,All Students,Mathematics,1284459,86883,42,42,491,430,430
2011-12,614,Brooks County,110,Brooks County High School,All Students,Reading,1284459,86895,42,42,488,439,439
2011-12,614,Brooks County,110,Brooks County High School,All Students,Writing,1284459,85322,42,42,364,386,386
2011-12,615,Bryan County,182,Richmond Hill High School,All Students,Combined,1284459,86367,517,463,1342,1376,1392
2011-12,615,Bryan County,182,Richmond Hill High School,All Students,Mathematics,1284459,86883,528,474,491,514,521
2011-12,615,Bryan County,182,Richmond Hill High School,All Students,Reading,1284459,86895,516,462,488,507,512
2011-12,615,Bryan County,182,Richmond Hill High School,All Students,Writing,1284459,85322,506,453,364,355,360
2011-12,615,Bryan County,502,Bryan County High School,All Students,Combined,1284459,86367,517,54,1342,1376,1237
2011-12,615,Bryan County,502,Bryan County High School,All Students,Mathematics,1284459,86883,528,54,491,514,453
2011-12,615,Bryan County,502,Bryan County High School,All Students,Reading,1284459,86895,516,54,488,507,465
2011-12,615,Bryan County,502,Bryan County High School,All Students,Writing,1284459,85322,506,53,364,355,320
2011-12,616,Bulloch County,203,Southeast Bulloch High School,All Students,Combined,1284459,86367,277,102,1342,1351,1397
2011-12,616,Bulloch County,203,Southeast Bulloch High School,All Students,Mathematics,1284459,86883,278,102,491,490,510
2011-12,616,Bulloch County,203,Southeast Bulloch High School,All Students,Reading,1284459,86895,277,102,488,482,501
2011-12,616,Bulloch County,203,Southeast Bulloch High School,All Students,Writing,1284459,85322,276,101,364,379,385
2011-12,616,Bulloch County,2054,Statesboro High School,All Students,Combined,1284459,86367,277,157,1342,1351,1306
2011-12,616,Bulloch County,2054,Statesboro High School,All Students,Mathematics,1284459,86883,278,158,491,490,474
2011-12,616,Bulloch County,2054,Statesboro High School,All Students,Reading,1284459,86895,277,157,488,482,468
2011-12,616,Bulloch County,2054,Statesboro High School,All Students,Writing,1284459,85322,276,157,364,379,364
2011-12,616,Bulloch County,4052,Portal Middle/High School,All Students,Combined,1284459,86367,277,18,1342,1351,1482
2011-12,616,Bulloch County,4052,Portal Middle/High School,All Students,Mathematics,1284459,86883,278,18,491,490,509
2011-12,616,Bulloch County,4052,Portal Middle/High School,All Students,Reading,1284459,86895,277,18,488,482,497
2011-12,616,Bulloch County,4052,Portal Middle/High School,All Students,Writing,1284459,85322,276,18,364,379,476
2011-12,617,Burke County,288,Burke County High School,All Students,Combined,1284459,86367,152,152,1342,1209,1209
2011-12,617,Burke County,288,Burke County High School,All Students,Mathematics,1284459,86883,154,154,491,438,438
2011-12,617,Burke County,288,Burke County High School,All Students,Reading,1284459,86895,152,152,488,435,435
2011-12,617,Burke County,288,Burke County High School,All Students,Writing,1284459,85322,151,151,364,336,336
2011-12,618,Butts County,190,Jackson High School,All Students,Combined,1284459,86367,145,145,1342,1244,1244
2011-12,618,Butts County,190,Jackson High School,All Students,Mathematics,1284459,86883,146,146,491,436,436
2011-12,618,Butts County,190,Jackson High School,All Students,Reading,1284459,86895,145,145,488,449,449
2011-12,618,Butts County,190,Jackson High School,All Students,Writing,1284459,85322,144,144,364,359,359
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Combined,1284459,86367,41,41,1342,1034,1034
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Mathematics,1284459,86883,40,40,491,376,376
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Reading,1284459,86895,43,43,488,382,382
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Writing,1284459,85322,40,40,364,276,276
2011-12,620,Camden County,295,Camden County High School,All Students,Combined,1284459,86367,442,442,1342,1375,1375
2011-12,620,Camden County,295,Camden County High School,All Students,Mathematics,1284459,86883,448,448,491,499,499
2011-12,620,Camden County,295,Camden County High School,All Students,Reading,1284459,86895,440,440,488,507,507
2011-12,620,Camden County,295,Camden County High School,All Students,Writing,1284459,85322,437,437,364,369,369
2011-12,621,Candler County,101,Metter High School,All Students,Combined,1284459,86367,86,86,1342,1245,1245
2011-12,621,Candler County,101,Metter High School,All Students,Mathematics,1284459,86883,88,88,491,448,448
2011-12,621,Candler County,101,Metter High School,All Students,Reading,1284459,86895,86,86,488,445,445
2011-12,621,Candler County,101,Metter High School,All Students,Writing,1284459,85322,83,83,364,352,352
