LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2015-16,601,Appling County,103,Appling County High School,All Students,Combined Test Score,,28212.33333,34,34,1084,1055,1055
2015-16,601,Appling County,103,Appling County High School,All Students,Essay Analysis Score - New,,16239,21,21,4,3,3
2015-16,601,Appling County,103,Appling County High School,All Students,Essay Reading Score - New,,16319,21,21,5,5,5
2015-16,601,Appling County,103,Appling County High School,All Students,Essay Total,,16311,21,21,14,12,12
2015-16,601,Appling County,103,Appling County High School,All Students,Essay Writing Score - New,,16374,21,21,5,4,4
2015-16,601,Appling County,103,Appling County High School,All Students,Evidence Based Reading and Writing - New,,28110,34,34,551,541,541
2015-16,601,Appling County,103,Appling County High School,All Students,Math Section Score - New,,28138,34,34,532,513,513
2015-16,601,Appling County,103,Appling County High School,All Students,Reading Test  Score - New,,28234,34,34,277,271,271
2015-16,601,Appling County,103,Appling County High School,All Students,WritLang Test  Score - New,,28265,34,34,275,271,271
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Combined Test Score,,28212.33333,11,11,1084,991,991
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Essay Analysis Score - New,,16239,TFS,TFS,4,,
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Essay Reading Score - New,,16319,TFS,TFS,5,,
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Essay Total,,16311,TFS,TFS,14,,
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Essay Writing Score - New,,16374,TFS,TFS,5,,
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Evidence Based Reading and Writing - New,,28110,11,11,551,498,498
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Math Section Score - New,,28138,11,11,532,493,493
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Reading Test  Score - New,,28234,11,11,277,243,243
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,WritLang Test  Score - New,,28265,11,11,275,255,255
2015-16,603,Bacon County,302,Bacon County High School,All Students,Combined Test Score,,28212.33333,15,15,1084,1011,1011
2015-16,603,Bacon County,302,Bacon County High School,All Students,Essay Analysis Score - New,,16239,11,11,4,2,2
2015-16,603,Bacon County,302,Bacon County High School,All Students,Essay Reading Score - New,,16319,11,11,5,4,4
2015-16,603,Bacon County,302,Bacon County High School,All Students,Essay Total,,16311,11,11,14,10,10
2015-16,603,Bacon County,302,Bacon County High School,All Students,Essay Writing Score - New,,16374,11,11,5,4,4
2015-16,603,Bacon County,302,Bacon County High School,All Students,Evidence Based Reading and Writing - New,,28110,15,15,551,519,519
2015-16,603,Bacon County,302,Bacon County High School,All Students,Math Section Score - New,,28138,15,15,532,493,493
2015-16,603,Bacon County,302,Bacon County High School,All Students,Reading Test  Score - New,,28234,15,15,277,262,262
2015-16,603,Bacon County,302,Bacon County High School,All Students,WritLang Test  Score - New,,28265,15,15,275,257,257
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Combined Test Score,,28212.33333,35,35,1084,987,987
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Essay Analysis Score - New,,16239,19,19,4,3,3
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Essay Reading Score - New,,16319,19,19,5,5,5
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Essay Total,,16311,19,19,14,12,12
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Essay Writing Score - New,,16374,20,20,5,5,5
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Evidence Based Reading and Writing - New,,28110,35,35,551,494,494
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Math Section Score - New,,28138,35,35,532,493,493
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Reading Test  Score - New,,28234,35,35,277,248,248
2015-16,605,Baldwin County,189,Baldwin High School,All Students,WritLang Test  Score - New,,28265,35,35,275,247,247
2015-16,606,Banks County,199,Banks County High School,All Students,Combined Test Score,,28212.33333,37,37,1084,1014,1014
2015-16,606,Banks County,199,Banks County High School,All Students,Essay Analysis Score - New,,16239,15,15,4,4,4
2015-16,606,Banks County,199,Banks County High School,All Students,Essay Reading Score - New,,16319,15,15,5,5,5
2015-16,606,Banks County,199,Banks County High School,All Students,Essay Total,,16311,15,15,14,13,13
2015-16,606,Banks County,199,Banks County High School,All Students,Essay Writing Score - New,,16374,15,15,5,5,5
2015-16,606,Banks County,199,Banks County High School,All Students,Evidence Based Reading and Writing - New,,28110,37,37,551,516,516
2015-16,606,Banks County,199,Banks County High School,All Students,Math Section Score - New,,28138,37,37,532,498,498
2015-16,606,Banks County,199,Banks County High School,All Students,Reading Test  Score - New,,28234,37,37,277,260,260
2015-16,606,Banks County,199,Banks County High School,All Students,WritLang Test  Score - New,,28265,37,37,275,256,256
2015-16,607,Barrow County,101,Apalachee High School,All Students,Combined Test Score,,28212.33333,185.6666667,87,1084,1057,1021
2015-16,607,Barrow County,101,Apalachee High School,All Students,Essay Analysis Score - New,,16239,139,80,4,4,4
2015-16,607,Barrow County,101,Apalachee High School,All Students,Essay Reading Score - New,,16319,138,79,5,5,5
2015-16,607,Barrow County,101,Apalachee High School,All Students,Essay Total,,16311,138,79,14,13,13
2015-16,607,Barrow County,101,Apalachee High School,All Students,Essay Writing Score - New,,16374,138,79,5,5,5
2015-16,607,Barrow County,101,Apalachee High School,All Students,Evidence Based Reading and Writing - New,,28110,185,87,551,540,524
2015-16,607,Barrow County,101,Apalachee High School,All Students,Math Section Score - New,,28138,185,87,532,517,497
2015-16,607,Barrow County,101,Apalachee High School,All Students,Reading Test  Score - New,,28234,187,87,277,270,261
2015-16,607,Barrow County,101,Apalachee High School,All Students,WritLang Test  Score - New,,28265,185,87,275,270,263
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined Test Score,,28212.33333,185.6666667,98.66666667,1084,1057,1088
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Analysis Score - New,,16239,139,59,4,4,4
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Reading Score - New,,16319,138,59,5,5,5
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Total,,16311,138,59,14,13,13
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Writing Score - New,,16374,138,59,5,5,5
