"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","601","Appling County","0103","Appling County High School","All Students","Combined Test Score",,27919,34,34,1080,1053,1053
"2015-16","601","Appling County","0103","Appling County High School","All Students","Essay Analysis Score - New",,15889,21,21,4,3,3
"2015-16","601","Appling County","0103","Appling County High School","All Students","Essay Reading Score - New",,15889,21,21,5,5,5
"2015-16","601","Appling County","0103","Appling County High School","All Students","Essay Total",,15889,21,21,14,12,12
"2015-16","601","Appling County","0103","Appling County High School","All Students","Essay Writing Score - New",,15889,21,21,5,4,4
"2015-16","601","Appling County","0103","Appling County High School","All Students","Evidence Based Reading and Writing - New",,27919,34,34,550,541,541
"2015-16","601","Appling County","0103","Appling County High School","All Students","Math Section Score - New",,27919,34,34,530,512,512
"2015-16","601","Appling County","0103","Appling County High School","All Students","Reading Test  Score - New",,27919,34,34,276,270,270
"2015-16","601","Appling County","0103","Appling County High School","All Students","WritLang Test  Score - New",,27919,34,34,274,271,271
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Combined Test Score",,27919,11,11,1080,959,959
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Analysis Score - New",,15889,2,2,4,,
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Reading Score - New",,15889,2,2,5,,
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Total",,15889,2,2,14,,
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Writing Score - New",,15889,2,2,5,,
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Evidence Based Reading and Writing - New",,27919,11,11,550,476,476
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Math Section Score - New",,27919,11,11,530,483,483
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Reading Test  Score - New",,27919,11,11,276,229,229
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","WritLang Test  Score - New",,27919,11,11,274,247,247
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Combined Test Score",,27919,15,15,1080,1011,1011
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Essay Analysis Score - New",,15889,11,11,4,2,2
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Essay Reading Score - New",,15889,11,11,5,4,4
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Essay Total",,15889,11,11,14,10,10
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Essay Writing Score - New",,15889,11,11,5,4,4
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Evidence Based Reading and Writing - New",,27919,15,15,550,519,519
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Math Section Score - New",,27919,15,15,530,493,493
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Reading Test  Score - New",,27919,15,15,276,262,262
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","WritLang Test  Score - New",,27919,15,15,274,257,257
"2015-16","605","Baldwin County","0189","Baldwin High School","All Students","Combined Test Score",,27919,35,35,1080,987,987
"2015-16","605","Baldwin County","0189","Baldwin High School","All Students","Essay Analysis Score - New",,15889,19,19,4,3,3
