LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,601,Appling County,103,Appling County High School,All Students,Combined,1267239,83053,85,85,1483,1347,1277,1277
2010-11,601,Appling County,103,Appling County High School,All Students,Mathematics,1267239,83053,85,85,506,486,454,454
2010-11,601,Appling County,103,Appling County High School,All Students,Reading,1267239,83053,85,85,494,483,460,460
2010-11,601,Appling County,103,Appling County High School,All Students,Writing,1267239,83053,85,85,483,378,363,363
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Combined,1267239,83053,34,34,1483,1347,1208,1208
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Mathematics,1267239,83053,34,34,506,486,441,441
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Reading,1267239,83053,34,34,494,483,431,431
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Writing,1267239,83053,34,34,483,378,335,335
2010-11,603,Bacon County,302,Bacon County High School,All Students,Combined,1267239,83053,56,56,1483,1347,1292,1292
2010-11,603,Bacon County,302,Bacon County High School,All Students,Mathematics,1267239,83053,56,56,506,486,461,461
2010-11,603,Bacon County,302,Bacon County High School,All Students,Reading,1267239,83053,56,56,494,483,456,456
2010-11,603,Bacon County,302,Bacon County High School,All Students,Writing,1267239,83053,56,56,483,378,374,374
2010-11,604,Baker County,105,Baker County K12 School,All Students,Combined,1267239,83053,11,11,1483,1347,1009,1009
2010-11,604,Baker County,105,Baker County K12 School,All Students,Mathematics,1267239,83053,11,11,506,486,382,382
2010-11,604,Baker County,105,Baker County K12 School,All Students,Reading,1267239,83053,11,11,494,483,330,330
2010-11,604,Baker County,105,Baker County K12 School,All Students,Writing,1267239,83053,11,11,483,378,297,297
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Combined,1267239,83053,196,196,1483,1347,1235,1235
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Mathematics,1267239,83053,196,196,506,486,438,438
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Reading,1267239,83053,196,196,494,483,433,433
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Writing,1267239,83053,196,196,483,378,364,364
2010-11,606,Banks County,199,Banks County High School,All Students,Combined,1267239,83053,89,89,1483,1347,1322,1322
2010-11,606,Banks County,199,Banks County High School,All Students,Mathematics,1267239,83053,89,89,506,486,488,488
2010-11,606,Banks County,199,Banks County High School,All Students,Reading,1267239,83053,89,89,494,483,474,474
2010-11,606,Banks County,199,Banks County High School,All Students,Writing,1267239,83053,89,89,483,378,359,359
2010-11,607,Barrow County,101,Apalachee High School,All Students,Combined,1267239,83053,406,197,1483,1347,1312,1320
2010-11,607,Barrow County,101,Apalachee High School,All Students,Mathematics,1267239,83053,406,197,506,486,461,464
2010-11,607,Barrow County,101,Apalachee High School,All Students,Reading,1267239,83053,406,197,494,483,472,475
2010-11,607,Barrow County,101,Apalachee High School,All Students,Writing,1267239,83053,406,197,483,378,380,381
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined,1267239,83053,406,209,1483,1347,1312,1305
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Mathematics,1267239,83053,406,209,506,486,461,458
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1267239,83053,406,209,494,483,472,469
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing,1267239,83053,406,209,483,378,380,378
2010-11,608,Bartow County,105,Adairsville High School,All Students,Combined,1267239,83053,400,125,1483,1347,1372,1345
2010-11,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1267239,83053,400,125,506,486,487,474
2010-11,608,Bartow County,105,Adairsville High School,All Students,Reading,1267239,83053,400,125,494,483,483,463
2010-11,608,Bartow County,105,Adairsville High School,All Students,Writing,1267239,83053,400,125,483,378,401,408
2010-11,608,Bartow County,198,Woodland High School,All Students,Combined,1267239,83053,400,170,1483,1347,1372,1416
2010-11,608,Bartow County,198,Woodland High School,All Students,Mathematics,1267239,83053,400,170,506,486,487,490
2010-11,608,Bartow County,198,Woodland High School,All Students,Reading,1267239,83053,400,170,494,483,483,500
2010-11,608,Bartow County,198,Woodland High School,All Students,Writing,1267239,83053,400,170,483,378,401,427
2010-11,608,Bartow County,577,Cass High School,All Students,Combined,1267239,83053,400,105,1483,1347,1372,1333
2010-11,608,Bartow County,577,Cass High School,All Students,Mathematics,1267239,83053,400,105,506,486,487,498
2010-11,608,Bartow County,577,Cass High School,All Students,Reading,1267239,83053,400,105,494,483,483,481
2010-11,608,Bartow County,577,Cass High School,All Students,Writing,1267239,83053,400,105,483,378,401,353
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined,1267239,83053,96,96,1483,1347,1216,1216
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Mathematics,1267239,83053,96,96,506,486,428,428
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading,1267239,83053,96,96,494,483,418,418
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Writing,1267239,83053,96,96,483,378,370,370
2010-11,610,Berrien County,101,Berrien High School,All Students,Combined,1267239,83053,105,105,1483,1347,1329,1329
2010-11,610,Berrien County,101,Berrien High School,All Students,Mathematics,1267239,83053,105,105,506,486,456,456
2010-11,610,Berrien County,101,Berrien High School,All Students,Reading,1267239,83053,105,105,494,483,463,463
2010-11,610,Berrien County,101,Berrien High School,All Students,Writing,1267239,83053,105,105,483,378,410,410
2010-11,611,Bibb County,105,Howard High School,All Students,Combined,1267239,83053,1006,216,1483,1347,1197,1252
2010-11,611,Bibb County,105,Howard High School,All Students,Mathematics,1267239,83053,1006,216,506,486,424,447
2010-11,611,Bibb County,105,Howard High School,All Students,Reading,1267239,83053,1006,216,494,483,429,457
2010-11,611,Bibb County,105,Howard High School,All Students,Writing,1267239,83053,1006,216,483,378,343,348
2010-11,611,Bibb County,186,Central High School,All Students,Combined,1267239,83053,1006,162,1483,1347,1197,1271
2010-11,611,Bibb County,186,Central High School,All Students,Mathematics,1267239,83053,1006,162,506,486,424,450
2010-11,611,Bibb County,186,Central High School,All Students,Reading,1267239,83053,1006,162,494,483,429,462
2010-11,611,Bibb County,186,Central High School,All Students,Writing,1267239,83053,1006,162,483,378,343,358
2010-11,611,Bibb County,198,Westside High School,All Students,Combined,1267239,83053,1006,175,1483,1347,1197,1168
2010-11,611,Bibb County,198,Westside High School,All Students,Mathematics,1267239,83053,1006,175,506,486,424,413
2010-11,611,Bibb County,198,Westside High School,All Students,Reading,1267239,83053,1006,175,494,483,429,413
2010-11,611,Bibb County,198,Westside High School,All Students,Writing,1267239,83053,1006,175,483,378,343,342
2010-11,611,Bibb County,204,Rutland High School,All Students,Combined,1267239,83053,1006,176,1483,1347,1197,1266
2010-11,611,Bibb County,204,Rutland High School,All Students,Mathematics,1267239,83053,1006,176,506,486,424,453
2010-11,611,Bibb County,204,Rutland High School,All Students,Reading,1267239,83053,1006,176,494,483,429,455
2010-11,611,Bibb County,204,Rutland High School,All Students,Writing,1267239,83053,1006,176,483,378,343,357
2010-11,611,Bibb County,286,Northeast High School,All Students,Combined,1267239,83053,1006,124,1483,1347,1197,1093
2010-11,611,Bibb County,286,Northeast High School,All Students,Mathematics,1267239,83053,1006,124,506,486,424,378
2010-11,611,Bibb County,286,Northeast High School,All Students,Reading,1267239,83053,1006,124,494,483,429,387
2010-11,611,Bibb County,286,Northeast High School,All Students,Writing,1267239,83053,1006,124,483,378,343,328
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Combined,1267239,83053,1006,44,1483,1347,1197,1093
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Mathematics,1267239,83053,1006,44,506,486,424,388
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Reading,1267239,83053,1006,44,494,483,429,389
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Writing,1267239,83053,1006,44,483,378,343,316
2010-11,611,Bibb County,386,Southwest High School,All Students,Combined,1267239,83053,1006,109,1483,1347,1197,1070
2010-11,611,Bibb County,386,Southwest High School,All Students,Mathematics,1267239,83053,1006,109,506,486,424,375
2010-11,611,Bibb County,386,Southwest High School,All Students,Reading,1267239,83053,1006,109,494,483,429,376
2010-11,611,Bibb County,386,Southwest High School,All Students,Writing,1267239,83053,1006,109,483,378,343,319
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Combined,1267239,83053,89,89,1483,1347,1412,1412
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Mathematics,1267239,83053,89,89,506,486,520,520
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Reading,1267239,83053,89,89,494,483,513,513
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Writing,1267239,83053,89,89,483,378,379,379
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Combined,1267239,83053,121,121,1483,1347,1284,1284
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Mathematics,1267239,83053,121,121,506,486,449,449
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Reading,1267239,83053,121,121,494,483,461,461
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Writing,1267239,83053,121,121,483,378,374,374
2010-11,614,Brooks County,110,Brooks County High School,All Students,Combined,1267239,83053,59,59,1483,1347,1235,1235
2010-11,614,Brooks County,110,Brooks County High School,All Students,Mathematics,1267239,83053,59,59,506,486,423,423
2010-11,614,Brooks County,110,Brooks County High School,All Students,Reading,1267239,83053,59,59,494,483,444,444
2010-11,614,Brooks County,110,Brooks County High School,All Students,Writing,1267239,83053,59,59,483,378,367,367
2010-11,615,Bryan County,182,Richmond Hill High School,All Students,Combined,1267239,83053,497,413,1483,1347,1399,1407
2010-11,615,Bryan County,182,Richmond Hill High School,All Students,Mathematics,1267239,83053,497,413,506,486,501,510
2010-11,615,Bryan County,182,Richmond Hill High School,All Students,Reading,1267239,83053,497,413,494,483,497,501
