"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","601","Appling County","0103","Appling County High School","All Students","Combined",1305158,50161,76,76,1484,1395,1350,1350
"2015-16","601","Appling County","0103","Appling County High School","All Students","Mathematics",1305158,50161,76,76,508,485,448,448
"2015-16","601","Appling County","0103","Appling County High School","All Students","Reading",1305158,50161,76,76,494,487,475,475
"2015-16","601","Appling County","0103","Appling County High School","All Students","Writing",1305158,50161,76,76,482,423,427,427
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Combined",1305158,50161,39,39,1484,1395,1333,1333
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Mathematics",1305158,50161,39,39,508,485,444,444
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Reading",1305158,50161,39,39,494,487,442,442
"2015-16","602","Atkinson County","0103","Atkinson County High School","All Students","Writing",1305158,50161,39,39,482,423,447,447
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Combined",1305158,50161,50,50,1484,1395,1303,1303
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Mathematics",1305158,50161,50,50,508,485,452,452
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Reading",1305158,50161,50,50,494,487,443,443
"2015-16","603","Bacon County","0302","Bacon County High School","All Students","Writing",1305158,50161,50,50,482,423,408,408
"2015-16","604","Baker County","0105","Baker County K12 School","All Students","Combined",1305158,50161,6,6,1484,1395,,
"2015-16","604","Baker County","0105","Baker County K12 School","All Students","Mathematics",1305158,50161,6,6,508,485,,
"2015-16","604","Baker County","0105","Baker County K12 School","All Students","Reading",1305158,50161,6,6,494,487,,
"2015-16","604","Baker County","0105","Baker County K12 School","All Students","Writing",1305158,50161,6,6,482,423,,
"2015-16","605","Baldwin County","0189","Baldwin High School","All Students","Combined",1305158,50161,66,66,1484,1395,1269,1269
"2015-16","605","Baldwin County","0189","Baldwin High School","All Students","Mathematics",1305158,50161,66,66,508,485,440,440
"2015-16","605","Baldwin County","0189","Baldwin High School","All Students","Reading",1305158,50161,66,66,494,487,453,453
"2015-16","605","Baldwin County","0189","Baldwin High School","All Students","Writing",1305158,50161,66,66,482,423,376,376
"2015-16","606","Banks County","0199","Banks County High School","All Students","Combined",1305158,50161,39,39,1484,1395,1315,1315
"2015-16","606","Banks County","0199","Banks County High School","All Students","Mathematics",1305158,50161,39,39,508,485,471,471
"2015-16","606","Banks County","0199","Banks County High School","All Students","Reading",1305158,50161,39,39,494,487,466,466
"2015-16","606","Banks County","0199","Banks County High School","All Students","Writing",1305158,50161,39,39,482,423,378,378
"2015-16","607","Barrow County","0101","Apalachee High School","All Students","Combined",1305158,50161,314,147,1484,1395,1350,1331
"2015-16","607","Barrow County","0101","Apalachee High School","All Students","Mathematics",1305158,50161,314,147,508,485,458,450
"2015-16","607","Barrow County","0101","Apalachee High School","All Students","Reading",1305158,50161,314,147,494,487,468,463
"2015-16","607","Barrow County","0101","Apalachee High School","All Students","Writing",1305158,50161,314,147,482,423,424,418
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Combined",1305158,50161,314,167,1484,1395,1350,1367
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Mathematics",1305158,50161,314,167,508,485,458,464
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading",1305158,50161,314,167,494,487,468,473
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Writing",1305158,50161,314,167,482,423,424,429
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Combined",1305158,50161,246,60,1484,1395,1387,1330
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Mathematics",1305158,50161,246,60,508,485,474,458
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Reading",1305158,50161,246,60,494,487,487,462
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Writing",1305158,50161,246,60,482,423,426,410
"2015-16","608","Bartow County","0114","Cass High School","All Students","Combined",1305158,50161,246,72,1484,1395,1387,1377
"2015-16","608","Bartow County","0114","Cass High School","All Students","Mathematics",1305158,50161,246,72,508,485,474,462
