"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2010-11","601","Appling County","ALL","All Column Values","General Administration",195022.05,91043.77,286065.82,0.88,0.76,0.99,0.91
"2010-11","601","Appling County","ALL","All Column Values","School Administration",725830.34,257596.37,983426.71,3.03,2.6,3.41,3.11
"2010-11","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",12852451.22,4204674.22,17057125.44,52.53,45.08,59.13,54.02
"2010-11","602","Atkinson County","ALL","All Column Values","General Administration",240439.41,117140.29,357579.7,2.44,2.19,2.56,2.16
"2010-11","602","Atkinson County","ALL","All Column Values","School Administration",604128.12,218883.51,823011.63,5.61,5.04,5.89,4.98
"2010-11","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",5592358.8,2197766.66,7790125.46,53.09,47.7,55.72,47.1
"2010-11","603","Bacon County","ALL","All Column Values","General Administration",306229.44,81108.27,387337.71,2.38,1.1,2.53,2.29
"2010-11","603","Bacon County","ALL","All Column Values","School Administration",615897.2,206211.96,822109.16,5.06,2.34,5.38,4.87
"2010-11","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",6662876.89,2258982.38,8921859.27,54.86,25.41,58.38,52.8
"2010-11","604","Baker County","ALL","All Column Values","General Administration",170708.32,39883.3,210591.62,4.38,3.97,5.85,5.16
"2010-11","604","Baker County","ALL","All Column Values","School Administration",167441.17,-46332.52,121108.65,2.52,2.29,3.36,2.97
"2010-11","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1285655.41,439108.16,1724763.57,35.9,32.54,47.88,42.23
"2010-11","605","Baldwin County","ALL","All Column Values","General Administration",623437.56,622561.16,1245998.72,2.53,2.04,2.75,1.91
"2010-11","605","Baldwin County","ALL","All Column Values","School Administration",1259523.17,530592.31,1790115.48,3.63,2.93,3.95,2.74
"2010-11","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",19866059.14,7755881.21,27621940.35,56.02,45.17,60.99,42.26
"2010-11","606","Banks County","ALL","All Column Values","General Administration",415977.7,131502.68,547480.38,2.24,1.43,2.38,1.97
"2010-11","606","Banks County","ALL","All Column Values","School Administration",675908.24,276307.38,952215.62,3.9,2.49,4.14,3.43
"2010-11","606","Banks County","ALL","All Column Values","Teachers and Paraprofessionals",9710964.65,3830028.4,13540993.05,55.42,35.39,58.91,48.73
"2010-11","607","Barrow County","ALL","All Column Values","General Administration",666700.37,725766.11,1392466.48,1.38,1.16,1.41,1.25
"2010-11","607","Barrow County","ALL","All Column Values","School Administration",2991135.59,1332453.16,4323588.75,4.29,3.59,4.39,3.88
"2010-11","607","Barrow County","ALL","All Column Values","Teachers and Paraprofessionals",42923014.45,17240706.24,60163720.69,59.69,50,61.07,53.96
"2010-11","608","Bartow County","ALL","All Column Values","General Administration",963216.3,304646.65,1267862.95,1.04,0.57,1.07,0.81
"2010-11","608","Bartow County","ALL","All Column Values","School Administration",4202295.04,1833864.47,6036159.51,4.96,2.7,5.1,3.84
"2010-11","608","Bartow County","ALL","All Column Values","Teachers and Paraprofessionals",48980317.5,20140962.7,69121280.2,56.75,30.93,58.43,43.99
"2010-11","609","Ben Hill County","ALL","All Column Values","General Administration",295331.37,311541.92,606873.29,2.24,1.96,2.32,1.79
"2010-11","609","Ben Hill County","ALL","All Column Values","School Administration",962808.06,401690.37,1364498.43,5.04,4.4,5.21,4.02
"2010-11","609","Ben Hill County","ALL","All Column Values","Teachers and Paraprofessionals",11162855.29,4336859.79,15499715.08,57.27,49.99,59.21,45.62
"2010-11","610","Berrien County","ALL","All Column Values","General Administration",326244.84,99416.92,425661.76,1.58,1.39,1.68,1.48
"2010-11","610","Berrien County","ALL","All Column Values","School Administration",753955.22,264576.61,1018531.83,3.79,3.32,4.02,3.54
"2010-11","610","Berrien County","ALL","All Column Values","Teachers and Paraprofessionals",11143677.56,3675527.39,14819204.95,55.09,48.27,58.49,51.55
"2010-11","611","Bibb County","ALL","All Column Values","General Administration",1394212,622712.9,2016924.9,0.88,0.65,0.94,0.78
"2010-11","611","Bibb County","ALL","All Column Values","School Administration",7208461.56,3168773.1,10377234.66,4.53,3.33,4.82,3.99
"2010-11","611","Bibb County","ALL","All Column Values","Teachers and Paraprofessionals",78261919.21,32398052.37,110659971.58,48.25,35.5,51.36,42.59
"2010-11","612","Bleckley County","ALL","All Column Values","General Administration",293547.08,104767.96,398315.04,1.88,1.66,2.03,1.38
"2010-11","612","Bleckley County","ALL","All Column Values","School Administration",712032.21,245420.41,957452.62,4.52,3.99,4.88,3.31
"2010-11","612","Bleckley County","ALL","All Column Values","Teachers and Paraprofessionals",8105424.89,2854783.38,10960208.27,51.75,45.62,55.82,37.86
"2010-11","613","Brantley County","ALL","All Column Values","General Administration",351503.94,105763.32,457267.26,1.77,1.56,1.77,1.5
"2010-11","613","Brantley County","ALL","All Column Values","School Administration",850259.7,310187.32,1160447.02,4.49,3.95,4.49,3.81
"2010-11","613","Brantley County","ALL","All Column Values","Teachers and Paraprofessionals",12111777.7,4004908.52,16116686.22,62.29,54.83,62.33,52.92
"2010-11","614","Brooks County","ALL","All Column Values","General Administration",324080.79,138492.94,462573.73,2.34,2.06,2.37,2.05
"2010-11","614","Brooks County","ALL","All Column Values","School Administration",656496.17,274737.29,931233.46,4.71,4.15,4.78,4.13
"2010-11","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",7399517.73,2954498.24,10354015.97,52.35,46.11,53.13,45.94
"2010-11","615","Bryan County","ALL","All Column Values","General Administration",393685.31,75160.33,468845.64,0.82,0.71,0.94,0.65
"2010-11","615","Bryan County","ALL","All Column Values","School Administration",1663683.62,527894.14,2191577.76,3.84,3.34,4.41,3.02
"2010-11","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",22674406.93,7682491.29,30356898.22,53.26,46.24,61.05,41.9
"2010-11","616","Bulloch County","ALL","All Column Values","General Administration",370587.26,112887.75,483475.01,0.6,0.43,0.65,0.44
"2010-11","616","Bulloch County","ALL","All Column Values","School Administration",2667579.24,922687.06,3590266.3,4.42,3.18,4.81,3.26
"2010-11","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",34252517.95,10110483.17,44363001.12,54.62,39.35,59.39,40.27
"2010-11","617","Burke County","ALL","All Column Values","General Administration",598370.79,238649.18,837019.97,1.83,1.71,1.83,1.69
"2010-11","617","Burke County","ALL","All Column Values","School Administration",1740606.74,684125.57,2424732.31,5.29,4.94,5.3,4.91
"2010-11","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",17168210.68,6630972.48,23799183.16,51.93,48.51,52,48.17
"2010-11","618","Butts County","ALL","All Column Values","General Administration",317090.9,220316.28,537407.18,1.76,1.53,1.92,1.56
"2010-11","618","Butts County","ALL","All Column Values","School Administration",1128024.78,451600.82,1579625.6,5.18,4.48,5.65,4.59
"2010-11","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",10443341.04,4376166.64,14819507.68,48.6,42.06,53.04,43.04
"2010-11","619","Calhoun County","ALL","All Column Values","General Administration",336033.52,121012.72,457046.24,6.87,6.09,6.62,6.11
"2010-11","619","Calhoun County","ALL","All Column Values","School Administration",280999.17,129960.25,410959.42,6.17,5.48,5.96,5.49
"2010-11","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",2230275.14,858926.17,3089201.31,46.41,41.18,44.78,41.29
"2010-11","620","Camden County","ALL","All Column Values","General Administration",354552.75,122166.79,476719.54,0.59,0.51,0.64,0.6
"2010-11","620","Camden County","ALL","All Column Values","School Administration",2894195.01,907820.66,3802015.67,4.69,4.09,5.13,4.81
"2010-11","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",33271303.23,10835538.43,44106841.66,54.42,47.46,59.51,55.81
"2010-11","621","Candler County","ALL","All Column Values","General Administration",398692.74,166779.53,565472.27,3.35,1.53,3.55,2.98
"2010-11","621","Candler County","ALL","All Column Values","School Administration",531929.89,209765.22,741695.11,4.39,2.01,4.66,3.91
"2010-11","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",6638088.16,2636210.73,9274298.89,54.93,25.08,58.29,48.93
"2010-11","622","Carroll County","ALL","All Column Values","General Administration",895214.49,384868.86,1280083.35,1.07,0.56,1.08,0.8
"2010-11","622","Carroll County","ALL","All Column Values","School Administration",4646280.02,1999193.39,6645473.41,5.54,2.93,5.6,4.15
"2010-11","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",47302195.44,18795459.8,66097655.24,55.12,29.11,55.67,41.29
"2010-11","623","Catoosa County","ALL","All Column Values","General Administration",303416.17,172426.81,475842.98,0.51,0.41,0.53,0.44
"2010-11","623","Catoosa County","ALL","All Column Values","School Administration",3495368.06,1508633.46,5004001.52,5.38,4.35,5.57,4.59
"2010-11","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",40444623.63,15683617.19,56128240.82,60.33,48.84,62.43,51.5
"2010-11","624","Charlton County","ALL","All Column Values","General Administration",199851.64,90690.19,290541.83,1.93,1.65,2.06,1.4
"2010-11","624","Charlton County","ALL","All Column Values","School Administration",651392.5,261580.3,912972.8,6.08,5.19,6.49,4.41
"2010-11","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5253548.61,2224185.57,7477734.18,49.77,42.47,53.13,36.15
"2010-11","625","Savannah-Chatham County","ALL","All Column Values","General Administration",2424093.02,795741.14,3219834.16,0.96,0.79,0.98,0.81
"2010-11","625","Savannah-Chatham County","ALL","All Column Values","School Administration",9905334.54,4172562.55,14077897.09,4.21,3.44,4.28,3.52
