"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2017-18","601","Appling County","ALL","All Column Values","General Administration",171883.08,133648.06,305531.14,0.84,0.71,0.9,0.81
"2017-18","601","Appling County","ALL","All Column Values","School Administration",885212.86,444072.11,1329284.97,3.64,3.08,3.92,3.53
"2017-18","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",13554351.23,5797862.59,19352213.82,53.03,44.85,57.01,51.41
"2017-18","602","Atkinson County","ALL","All Column Values","General Administration",131171.42,114723.55,245894.97,1.49,1.32,1.52,1.34
"2017-18","602","Atkinson County","ALL","All Column Values","School Administration",603699.61,297414.85,901114.46,5.45,4.86,5.56,4.9
"2017-18","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",6005437.52,3045259.1,9050696.62,54.74,48.77,55.81,49.18
"2017-18","603","Bacon County","ALL","All Column Values","General Administration",356406.56,149924.31,506330.87,2.37,2.09,2.5,2.28
"2017-18","603","Bacon County","ALL","All Column Values","School Administration",661208.54,284374.78,945583.32,4.42,3.9,4.67,4.26
"2017-18","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",7920496.75,3246835.3,11167332.05,52.22,46.07,55.18,50.28
"2017-18","604","Baker County","ALL","All Column Values","General Administration",188520.89,96068.45,284589.34,6.08,5.61,5.98,5.61
"2017-18","604","Baker County","ALL","All Column Values","School Administration",83255.4,89418.97,172674.37,3.69,3.4,3.63,3.4
"2017-18","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1229452.65,642343.7,1871796.35,40,36.88,39.3,36.87
"2017-18","605","Baldwin County","ALL","All Column Values","General Administration",634582.7,483932.55,1118515.25,2.25,1.86,2.4,2.01
"2017-18","605","Baldwin County","ALL","All Column Values","School Administration",1452140.56,732380.5,2184521.06,4.39,3.63,4.69,3.92
"2017-18","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",16643178.99,8309046.39,24952225.38,50.16,41.42,53.56,44.74
