"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2011-12","601","Appling County","ALL","All Column Values","General Administration",119607,91463.17,211070.17,0.71,0.6,0.74,0.57
"2011-12","601","Appling County","ALL","All Column Values","School Administration",806823.88,284487.67,1091311.55,3.65,3.09,3.83,2.96
"2011-12","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",12871654.45,4317825.72,17189480.17,57.48,48.7,60.39,46.63
"2011-12","602","Atkinson County","ALL","All Column Values","General Administration",154949.82,67320.49,222270.31,1.54,1.34,1.61,1.37
"2011-12","602","Atkinson County","ALL","All Column Values","School Administration",598748.76,221964.87,820713.63,5.68,4.95,5.93,5.04
"2011-12","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",5704538.58,2211779.05,7916317.63,54.79,47.79,57.21,48.66
"2011-12","603","Bacon County","ALL","All Column Values","General Administration",290470.77,86291.65,376762.42,2.42,2.09,2.44,2.1
"2011-12","603","Bacon County","ALL","All Column Values","School Administration",589199.4,199018.17,788217.57,5.07,4.36,5.09,4.4
"2011-12","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",6735834.33,2290782.81,9026617.14,58.05,49.98,58.34,50.4
"2011-12","604","Baker County","ALL","All Column Values","General Administration",175406.54,88443.07,263849.61,6.28,5.69,6.9,6
"2011-12","604","Baker County","ALL","All Column Values","School Administration",128682.51,54061.35,182743.86,4.35,3.94,4.78,4.15
"2011-12","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1245052.3,445847.73,1690900.03,40.22,36.49,44.2,38.43
"2011-12","605","Baldwin County","ALL","All Column Values","General Administration",588612.16,473834.83,1062446.99,2.37,1.82,2.35,1.85
"2011-12","605","Baldwin County","ALL","All Column Values","School Administration",1480673.18,609431.08,2090104.26,4.65,3.57,4.62,3.65
"2011-12","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",19787111.23,7685093.39,27472204.62,61.16,46.94,60.72,47.93
"2011-12","606","Banks County","ALL","All Column Values","General Administration",289323.83,95215.68,384539.51,1.68,1.39,1.64,1.27
