"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2014-15","601","Appling County","ALL","All Column Values","General Administration",138836.76,89825.07,228661.83,0.73,0.62,0.71,0.6
"2014-15","601","Appling County","ALL","All Column Values","School Administration",888626.07,347133.89,1235759.96,3.92,3.35,3.85,3.26
"2014-15","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",13792326.21,5025392.13,18817718.34,59.67,50.97,58.58,49.7
"2014-15","602","Atkinson County","ALL","All Column Values","General Administration",155949.76,60695.88,216645.64,1.4,1.23,1.47,1.24
"2014-15","602","Atkinson County","ALL","All Column Values","School Administration",580329.96,228472.15,808802.11,5.21,4.61,5.48,4.63
"2014-15","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",5783359.69,2590194.71,8373554.4,53.99,47.68,56.77,47.98
"2014-15","603","Bacon County","ALL","All Column Values","General Administration",275271.32,106181.5,381452.82,2.11,1.74,2.11,1.36
"2014-15","603","Bacon County","ALL","All Column Values","School Administration",631349.82,232017.91,863367.73,4.77,3.93,4.78,3.08
"2014-15","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",7467304.47,2718121.84,10185426.31,56.32,46.41,56.44,36.31
"2014-15","604","Baker County","ALL","All Column Values","General Administration",74006.42,38222.26,112228.68,2.19,2.09,4.25,3.92
"2014-15","604","Baker County","ALL","All Column Values","School Administration",144515.62,79174.29,223689.91,4.36,4.17,8.48,7.81
"2014-15","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",725861.38,268515.3,994376.68,19.36,18.53,37.7,34.74
"2014-15","605","Baldwin County","ALL","All Column Values","General Administration",621992.77,475618.09,1097610.86,2.39,1.94,2.51,2.02
"2014-15","605","Baldwin County","ALL","All Column Values","School Administration",1533445.31,674222.47,2207667.78,4.8,3.9,5.04,4.07
"2014-15","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",18087842.76,7705141.56,25792984.32,56.11,45.52,58.93,47.58
"2014-15","606","Banks County","ALL","All Column Values","General Administration",279570.12,125251.85,404821.97,1.59,1.33,1.62,1.33
"2014-15","606","Banks County","ALL","All Column Values","School Administration",751633.38,366517.97,1118151.35,4.4,3.67,4.48,3.69
