"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2015-16","601","Appling County","ALL","All Column Values","General Administration",138836.76,106269.48,245106.24,0.73,0.63,0.75,0.62
"2015-16","601","Appling County","ALL","All Column Values","School Administration",876620.97,377671.66,1254292.63,3.72,3.21,3.81,3.16
"2015-16","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",14024778.49,5249187.21,19273965.7,57.17,49.33,58.61,48.57
"2015-16","602","Atkinson County","ALL","All Column Values","General Administration",161949.76,104457.39,266407.15,1.69,1.52,1.78,1.58
"2015-16","602","Atkinson County","ALL","All Column Values","School Administration",594782.96,255483.14,850266.1,5.39,4.85,5.68,5.03
"2015-16","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",5855355.49,2677301.13,8532656.62,54.13,48.62,57.01,50.5
"2015-16","603","Bacon County","ALL","All Column Values","General Administration",284381.4,115926.26,400307.66,2.07,1.83,2.16,1.97
"2015-16","603","Bacon County","ALL","All Column Values","School Administration",637952.74,247277.77,885230.51,4.57,4.04,4.77,4.35
"2015-16","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",7473213.44,2894123.82,10367337.26,53.57,47.34,55.84,50.93
"2015-16","604","Baker County","ALL","All Column Values","General Administration",113124.93,53491.19,166616.12,3.83,3.51,4.17,3.82
"2015-16","604","Baker County","ALL","All Column Values","School Administration",167628.38,87578.17,255206.55,5.87,5.37,6.38,5.85
"2015-16","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1159151.75,490399.46,1649551.21,37.95,34.73,41.27,37.83
"2015-16","605","Baldwin County","ALL","All Column Values","General Administration",619189.82,464649.93,1083839.75,2.2,1.56,2.37,1.91
"2015-16","605","Baldwin County","ALL","All Column Values","School Administration",1511140.23,724809.87,2235950.1,4.53,3.22,4.89,3.95
"2015-16","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",17370371.85,7663934.52,25034306.37,50.74,36.06,54.76,44.23
"2015-16","606","Banks County","ALL","All Column Values","General Administration",293326.48,127350.83,420677.31,1.62,1.38,1.67,1.34
"2015-16","606","Banks County","ALL","All Column Values","School Administration",728319.29,398067.59,1126386.88,4.33,3.68,4.47,3.6
"2015-16","606","Banks County","ALL","All Column Values","Teachers and Paraprofessionals",10585575.03,4644997.92,15230572.95,58.56,49.81,60.38,48.61
"2015-16","607","Barrow County","ALL","All Column Values","General Administration",714603.8,1025251.28,1739855.08,1.52,1.08,1.55,1.14
"2015-16","607","Barrow County","ALL","All Column Values","School Administration",3132105.34,1785669.11,4917774.45,4.29,3.06,4.37,3.23
"2015-16","607","Barrow County","ALL","All Column Values","Teachers and Paraprofessionals",46464862.71,21252851.55,67717714.26,59.04,42.11,60.22,44.46
"2015-16","608","Bartow County","ALL","All Column Values","General Administration",522721.02,227568.34,750289.36,0.62,0.38,0.64,0.51
"2015-16","608","Bartow County","ALL","All Column Values","School Administration",3774161.78,2030613.29,5804775.07,4.79,2.98,4.93,3.97
"2015-16","608","Bartow County","ALL","All Column Values","Teachers and Paraprofessionals",47707699.27,21823528.45,69531227.72,57.34,35.64,59,47.54
"2015-16","609","Ben Hill County","ALL","All Column Values","General Administration",238655.6,150400.4,389056,1.36,1.19,1.37,1.12
"2015-16","609","Ben Hill County","ALL","All Column Values","School Administration",921003.8,487051.06,1408054.86,4.92,4.3,4.97,4.07
"2015-16","609","Ben Hill County","ALL","All Column Values","Teachers and Paraprofessionals",11103932.69,5112212.29,16216144.98,56.61,49.56,57.27,46.85
"2015-16","610","Berrien County","ALL","All Column Values","General Administration",352384.37,160583.31,512967.68,1.92,1.4,1.93,1.4
"2015-16","610","Berrien County","ALL","All Column Values","School Administration",751491.42,347018.14,1098509.56,4.1,3,4.14,3
"2015-16","610","Berrien County","ALL","All Column Values","Teachers and Paraprofessionals",11019808.42,4248222.52,15268030.94,57.04,41.69,57.59,41.71
"2015-16","611","Bibb County","ALL","All Column Values","General Administration",870169.85,806085.31,1676255.16,0.75,0.6,0.77,0.62
"2015-16","611","Bibb County","ALL","All Column Values","School Administration",7503511.74,3689383.4,11192895.14,5.02,3.98,5.12,4.11
"2015-16","611","Bibb County","ALL","All Column Values","Teachers and Paraprofessionals",73953134.97,34376461.56,108329596.53,48.63,38.53,49.57,39.77
"2015-16","612","Bleckley County","ALL","All Column Values","General Administration",175524.3,86927.86,262452.16,1.26,1.1,1.29,1.13
"2015-16","612","Bleckley County","ALL","All Column Values","School Administration",807933.63,323280.39,1131214.02,5.44,4.76,5.56,4.88
"2015-16","612","Bleckley County","ALL","All Column Values","Teachers and Paraprofessionals",8637898.11,3078934.59,11716832.7,56.33,49.33,57.56,50.54
"2015-16","613","Brantley County","ALL","All Column Values","General Administration",421114.8,146515.25,567630.05,1.89,1.69,1.92,1.71
"2015-16","613","Brantley County","ALL","All Column Values","School Administration",926099.74,392030.39,1318130.13,4.38,3.92,4.47,3.97
"2015-16","613","Brantley County","ALL","All Column Values","Teachers and Paraprofessionals",12612442.13,4478893.24,17091335.37,56.78,50.77,57.9,51.44
"2015-16","614","Brooks County","ALL","All Column Values","General Administration",237786.97,182719.3,420506.27,2.02,1.79,2.13,1.87
"2015-16","614","Brooks County","ALL","All Column Values","School Administration",675842.61,341445.9,1017288.51,4.9,4.34,5.16,4.51
"2015-16","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",7088488.52,3193202.82,10281691.34,49.51,43.85,52.12,45.63
"2015-16","615","Bryan County","ALL","All Column Values","General Administration",351417.83,168845.81,520263.64,0.81,0.7,0.83,0.65
"2015-16","615","Bryan County","ALL","All Column Values","School Administration",2279466.82,933550.18,3213017,4.98,4.34,5.12,4
"2015-16","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",26740299.73,10017256.62,36757556.35,56.98,49.71,58.54,45.73
"2015-16","616","Bulloch County","ALL","All Column Values","General Administration",257692.94,146985.08,404678.02,0.48,0.4,0.46,0.38
"2015-16","616","Bulloch County","ALL","All Column Values","School Administration",3084394.91,1348512.87,4432907.78,5.22,4.34,4.99,4.12
"2015-16","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",37162794.97,13697504,50860298.97,59.94,49.77,57.22,47.22
"2015-16","617","Burke County","ALL","All Column Values","General Administration",763567.7,384727.09,1148294.79,2.03,1.88,2.35,2.11
"2015-16","617","Burke County","ALL","All Column Values","School Administration",1931113.58,847109.34,2778222.92,4.91,4.56,5.69,5.11
"2015-16","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",17227828.89,7769938.21,24997767.1,44.18,41.03,51.17,45.94
"2015-16","618","Butts County","ALL","All Column Values","General Administration",449287.29,311450.76,760738.05,2.57,2.12,2.67,2.09
"2015-16","618","Butts County","ALL","All Column Values","School Administration",1052413.86,514138.84,1566552.7,5.29,4.36,5.5,4.3
"2015-16","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",10684545.46,4961684.78,15646230.24,52.88,43.53,54.92,42.9
"2015-16","619","Calhoun County","ALL","All Column Values","General Administration",422999.12,187162.35,610161.47,8.17,7.32,8.64,7.99
"2015-16","619","Calhoun County","ALL","All Column Values","School Administration",328824.45,151872.67,480697.12,6.44,5.77,6.81,6.3
"2015-16","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",1930619.78,948574.57,2879194.35,38.55,34.53,40.79,37.71
"2015-16","620","Camden County","ALL","All Column Values","General Administration",281748.88,165630.76,447379.64,0.59,0.51,0.61,0.55
"2015-16","620","Camden County","ALL","All Column Values","School Administration",3058723.2,1081185.63,4139908.83,5.43,4.75,5.69,5.06
"2015-16","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",30856107.79,10631837.4,41487945.19,54.39,47.57,57,50.67
"2015-16","621","Candler County","ALL","All Column Values","General Administration",323314.6,138614.88,461929.48,2.72,2.24,2.75,2.41
