"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2016-17","601","Appling County","ALL","All Column Values","General Administration",139577.2,114339.55,253916.75,0.72,0.6,0.76,0.64
"2016-17","601","Appling County","ALL","All Column Values","School Administration",868900.76,405801.74,1274702.5,3.63,3.02,3.81,3.23
"2016-17","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",14000383.47,5382769.15,19383152.62,55.2,45.94,57.99,49.11
"2016-17","602","Atkinson County","ALL","All Column Values","General Administration",157209.76,107927.33,265137.09,1.66,1.49,1.69,1.5
"2016-17","602","Atkinson County","ALL","All Column Values","School Administration",574401.04,263015.93,837416.97,5.25,4.71,5.35,4.74
"2016-17","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",6146136.53,2876477.4,9022613.93,56.58,50.72,57.64,51.09
"2016-17","603","Bacon County","ALL","All Column Values","General Administration",345825.89,129502.82,475328.71,2.42,1.57,2.43,2.22
"2016-17","603","Bacon County","ALL","All Column Values","School Administration",654762.33,255976,910738.33,4.63,3.01,4.66,4.26
"2016-17","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",7641428.54,2993657.52,10635086.06,54.08,35.19,54.38,49.76
"2016-17","604","Baker County","ALL","All Column Values","General Administration",141994.29,55112.22,197106.51,3.74,3.46,3.94,3.36
"2016-17","604","Baker County","ALL","All Column Values","School Administration",159297.78,91767.16,251064.94,4.76,4.41,5.01,4.28
"2016-17","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1640951.16,713792.62,2354743.78,44.68,41.39,47.01,40.11
"2016-17","605","Baldwin County","ALL","All Column Values","General Administration",700607.91,510510.12,1211118.03,2.46,2.02,2.63,1.93
"2016-17","605","Baldwin County","ALL","All Column Values","School Administration",1509732.79,740328.19,2250060.98,4.57,3.74,4.88,3.58
"2016-17","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",17194874.78,7678019.36,24872894.14,50.49,41.4,53.93,39.6
"2016-17","606","Banks County","ALL","All Column Values","General Administration",308832.04,140494.35,449326.39,1.71,1.09,1.71,1.34
"2016-17","606","Banks County","ALL","All Column Values","School Administration",753813.24,410163.5,1163976.74,4.43,2.83,4.44,3.47
"2016-17","606","Banks County","ALL","All Column Values","Teachers and Paraprofessionals",10987875.96,4844774.61,15832650.57,60.22,38.43,60.42,47.2
"2016-17","607","Barrow County","ALL","All Column Values","General Administration",778084.3,874719.31,1652803.61,1.38,1.15,1.41,1.12
"2016-17","607","Barrow County","ALL","All Column Values","School Administration",3231951.78,1892453.19,5124404.97,4.27,3.56,4.38,3.48
"2016-17","607","Barrow County","ALL","All Column Values","Teachers and Paraprofessionals",48272145.62,22127087.01,70399232.63,58.66,48.89,60.11,47.83
"2016-17","608","Bartow County","ALL","All Column Values","General Administration",377046.62,205542.96,582589.58,0.46,0.39,0.48,0.37
"2016-17","608","Bartow County","ALL","All Column Values","School Administration",3954283.21,2109641.66,6063924.87,4.8,4.05,5,3.8
"2016-17","608","Bartow County","ALL","All Column Values","Teachers and Paraprofessionals",48662018.87,22203843.48,70865862.35,56.1,47.32,58.47,44.42
"2016-17","609","Ben Hill County","ALL","All Column Values","General Administration",328815.3,194300.24,523115.54,1.79,1.56,1.78,1.5
