SystemId,SystemName,Grade,SingleScore,Four_Year_Graduation_Rate,CollegeEnrollment
601,Appling County,C,72.8,90.2,
602,Atkinson County,C,76.8,89.7,
603,Bacon County,B,81.5,94.1,
604,Baker County,D,60.4,87,
605,Baldwin County,D,69.7,90.7,
606,Banks County,C,74.8,85.3,
607,Barrow County,C,76.7,87.6,
608,Bartow County,D,69.3,89.2,
609,Ben Hill County,D,64.3,88.5,
610,Berrien County,D,69.7,86.6,
611,Bibb County,D,68.5,79.4,
612,Bleckley County,C,79.9,92.9,
613,Brantley County,C,76.4,85.5,
614,Brooks County,F,59.6,92.3,
615,Bryan County,B,85.4,89.1,
616,Bulloch County,C,73.7,79.9,
617,Burke County,D,68.1,91.6,
618,Butts County,D,65.5,83.5,
619,Calhoun County,F,56.3,88.5,
620,Camden County,B,86.4,95.5,
621,Candler County,D,68.8,93.6,
622,Carroll County,C,79,93.3,
623,Catoosa County,C,79.6,87.4,
624,Charlton County,B,80.2,90.8,
625,Chatham County,C,71.4,87.8,
626,Chattahoochee County,C,75.7,76.7,
627,Chattooga County,C,73.6,87.3,
628,Cherokee County,B,83.4,86.9,
629,Clarke County,D,66,81.4,
630,Clay County,D,67.7,,
631,Clayton County,D,62.4,72.7,
632,Clinch County,C,71.6,88.8,
633,Cobb County,B,86.1,87,
634,Coffee County,C,77,84.2,
635,Colquitt County,C,70.6,85.4,
636,Columbia County,B,81.2,92,
637,Cook County,C,72.6,88.3,
638,Coweta County,B,84.8,86.9,
639,Crawford County,D,64.4,67.7,
640,Crisp County,D,69.7,87.7,
641,Dade County,C,78.4,80.7,
642,Dawson County,C,78.2,95.8,
643,Decatur County,D,66,85,
644,DeKalb County,C,75.4,73.4,
645,Dodge County,D,68.5,90.4,
646,Dooly County,F,56.3,83.3,
647,Dougherty County,D,65.8,85.1,
648,Douglas County,C,75.9,87.4,
649,Early County,D,63.2,84.9,
650,Echols County,C,79.1,100,
651,Effingham County,B,83.8,90.5,
652,Elbert County,D,62.6,89.5,
653,Emanuel County,D,66.2,83.5,
654,Evans County,D,67.1,82.8,
655,Fannin County,C,71.7,93.9,
656,Fayette County,B,89.5,90.2,
657,Floyd County,B,81.6,93.3,
658,Forsyth County,A,92.7,94.6,
659,Franklin County,C,72.4,90.7,
660,Fulton County,B,83.8,87.2,
661,Gilmer County,C,79.5,92.4,
662,Glascock County,C,71.9,91.7,
663,Glynn County,B,83.7,92.8,
664,Gordon County,C,75.2,92.3,
665,Grady County,D,63.3,88.8,
666,Greene County,D,68.8,83.9,
667,Gwinnett County,B,82.5,80.9,
668,Habersham County,B,80.9,91.6,
669,Hall County,C,72.4,87.4,
670,Hancock County,F,56,80,
671,Haralson County,C,76.1,97.2,
672,Harris County,C,78.5,93.3,
673,Hart County,C,75.5,94.9,
674,Heard County,C,75.3,83.3,
675,Henry County,C,77.3,87,
676,Houston County,B,83.1,87.9,
677,Irwin County,C,75.5,95.2,
678,Jackson County,C,78.9,95.8,
679,Jasper County,C,74.9,84.2,
680,Jeff Davis County,C,70.8,89.1,
681,Jefferson County,D,65.8,86.7,
682,Jenkins County,C,72.1,78.9,
683,Johnson County,C,75,88.2,
684,Jones County,C,74.9,82.4,
685,Lamar County,D,63,83.3,
686,Lanier County,C,72.5,84.2,
687,Laurens County,B,83.2,86.7,
688,Lee County,B,84.5,90,
689,Liberty County,C,72.2,88,
690,Lincoln County,C,72.5,84.8,
691,Long County,C,75.4,87.1,
692,Lowndes County,B,82.1,91.7,
693,Lumpkin County,C,75.5,95.5,
694,Macon County,D,66.2,84.8,
695,Madison County,B,81.6,94.6,
696,Marion County,D,68.8,85,
697,McDuffie County,D,68,82.2,
698,McIntosh County,D,66.5,76.3,
699,Meriwether County,D,68.6,82.3,
700,Miller County,D,69.9,82.9,
701,Mitchell County,F,58.8,93.8,
702,Monroe County,B,87.7,86.1,
703,Montgomery County,C,75.8,80.5,
704,Morgan County,C,77.7,91.2,
705,Murray County,D,67.3,95,
706,Muscogee County,C,74.2,86.1,
707,Newton County,D,63.9,86.9,
708,Oconee County,A,92.5,97.7,
709,Oglethorpe County,B,80,94.8,
710,Paulding County,C,79.9,88.8,
711,Peach County,C,70.2,84.4,
712,Pickens County,C,73.8,93,
713,Pierce County,B,83.4,86.3,
714,Pike County,C,74.5,93.9,
715,Polk County,D,65.8,82.1,
716,Pulaski County,C,75.4,87.6,
717,Putnam County,D,60.2,92.3,
718,Quitman County,D,69.8,82.8,
719,Rabun County,B,82.9,91.5,
720,Randolph County,D,62.7,84.1,
721,Richmond County,F,59.3,75.1,
722,Rockdale County,D,69.5,82.7,
723,Schley County,B,80.8,90.4,
724,Screven County,B,81.1,84.3,
725,Seminole County,D,63.2,86.5,
726,Spalding County,D,65.9,88.6,
727,Stephens County,C,71.3,91.4,
728,Stewart County,C,76.9,96.9,
729,Sumter County,D,65.6,86,
730,Talbot County,F,58.9,82.9,
731,Taliaferro County,D,66.1,,
732,Tattnall County,D,69.5,88.7,
733,Taylor County,D,64.4,76.8,
734,Telfair County,D,68.6,85.7,
735,Terrell County,D,69.8,85.6,
736,Thomas County,C,72.5,89.3,
737,Tift County,C,70.3,81.2,
738,Toombs County,C,72.8,90.1,
739,Towns County,C,79.6,97.6,
740,Treutlen County,F,58.8,81.7,
741,Troup County,C,70.5,86.6,
742,Turner County,D,63.7,89.3,
743,Twiggs County,D,68.2,89.8,
744,Union County,C,76.5,99.5,
745,Thomaston-Upson County,C,74.9,90.8,
746,Walker County,C,73.5,88.3,
747,Walton County,B,80.7,89.9,
748,Ware County,C,75.8,86,
749,Warren County,D,69.5,85.7,
750,Washington County,D,68.9,89.7,
751,Wayne County,C,73.2,93.8,
752,Webster County,C,72.6,100,
753,Wheeler County,C,71.2,89.5,
754,White County,C,79.6,91.4,
755,Whitfield County,C,77.9,86.8,
756,Wilcox County,C,75.7,90.3,
757,Wilkes County,C,72.2,87.7,
758,Wilkinson County,F,59.7,95.3,
759,Worth County,D,66.4,74.4,
761,Atlanta Public Schools,C,74.1,77.9,
763,Bremen City,A,92.9,98.5,
764,Buford City,B,88.6,92.6,
765,Calhoun City,C,72.8,98.1,
766,Carrollton City,C,75.1,91,
767,Cartersville City,C,78.3,90.3,
769,Chickamauga City,B,88.7,98.1,
771,Commerce City,C,74,95.8,
772,Dalton City,C,77.8,81.6,
773,Decatur City,B,87.9,95.2,
774,Dublin City,F,58.8,88.8,
776,Gainesville City,D,69.2,80.3,
779,Jefferson City,A,90.3,95.9,
781,Marietta City,B,80.4,75.7,
784,Pelham City,C,70.3,82.4,
785,Rome City,C,73.6,93.3,
786,Social Circle City,C,71.5,92.3,
789,Thomasville City,C,72.5,74.2,
791,Trion City,B,86.7,97.2,
792,Valdosta City,D,69.7,86.9,
793,Vidalia City,D,65.7,96.3,
7820108,Attendance Zone,C,75.9,82,
7820110,Attendance Zone,B,84.8,86.9,
7820120,Attendance Zone,C,75.9,82,
7820121,Attendance Zone,D,62.4,72.7,
7820212,Attendance Zone,B,83.5,86.8,
7820412,Attendance Zone,C,75.9,82,
7820612,Attendance Zone,C,75,75,
7820613,Attendance Zone,C,75.9,82,
7820614,Attendance Zone,C,75.9,82,
7820615,Attendance Zone,C,76.4,89.5,
7820616,Attendance Zone,C,75.9,82,
7820617,Attendance Zone,D,62.4,72.7,
7820618,Attendance Zone,C,75.9,82,
7830103,Attendance Zone,C,73.7,79.9,
7830210,Attendance Zone,D,64.9,85.1,
7830310,Attendance Zone,C,75.1,80.6,
7830410,Attendance Zone,C,74.1,77.9,
7830610,Attendance Zone,C,78.2,87.2,
7830611,Attendance Zone,C,75.9,82,
7830612,Attendance Zone,C,75.9,82,
7830613,Attendance Zone,C,75.9,82,
7830614,Attendance Zone,C,75.9,82,
7830615,Attendance Zone,C,75.9,82,
7830616,Attendance Zone,C,75.9,82,
7830617,Attendance Zone,C,74.1,77.9,
7830618,Attendance Zone,C,75.9,82,
7830619,Attendance Zone,B,86.1,87,
7830620,Attendance Zone,C,75.9,82,
7830621,Attendance Zone,C,74.1,77.9,
7830623,Attendance Zone,,,,
7830630,Attendance Zone,,,,
7830628,Attendance Zone,,,,
7830624,Attendance Zone,,,,
