SystemID,systemname,districtwebsite,phone_number,street,city,state,zip_code,Grade,SingleScore,PPE,Four_Year_Graduation_Rate,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,total_enroll,CollegeEnrollment,Mobility,_merge
601,Appling County,http://www.appling.k12.ga.us/,(912)367-8600,249 Blackshear Highway,Baxley,GA,31513,,,,92.8,1,0,22,17,4,57,90,13.89999962,11,3567,,9.9,master only (1)
602,Atkinson County,http://www.atkinson.k12.ga.us/,(912)422-7373,98 East Roberts Avenue,Pearson,GA,31642,,,,91.9,0,0,15,42,2,41,84,11.89999962,21,1707,,10.2,master only (1)
603,Bacon County,http://www.bcraiders.com/,(912)632-7363,102 W. 4th Street,Alma,GA,31510,,,,92.9,0,0,22,14,4,59,73,16.10000038,7,2110,,10.5,master only (1)
604,Baker County,http://www.baker.k12.ga.us/,(229)734-5274,260 Highway 37 SW,Newton,GA,39870,,,,,0,0,53,15,7,25,100,18.29999924,1,268,,21.6,master only (1)
605,Baldwin County,https://www.baldwincountyschoolsga.org/,(478)453-4176,110 N. ABC Street,Milledgeville,GA,31061,,,,85,1,0,67,2,4,26,93,13,1,5027,,10.5,master only (1)
606,Banks County,http://www.banks.k12.ga.us/,(706)677-2224,1989 Historic Homer Hwy,Commerce,GA,30529,,,,88.3,1,0,2,9,3,85,59,14.80000019,5,2750,,11.9,master only (1)
607,Barrow County,http://www.barrow.k12.ga.us/,(770)867-4527,179 W. Athens Street,Winder,GA,30680,,,,85.1,5,0,14,20,5,56,54,14.69999981,13,14272,,10.8,master only (1)
608,Bartow County,http://www.bartow.k12.ga.us/,(770)606-5800,65 Gilreath Road NW,Cartersville,GA,30121,,,,91.2,1,0,9,15,5,70,55,12,8,13421,,13.7,master only (1)
609,Ben Hill County,http://ben-hill.k12.ga.us/,(229)409-5500,509 West Palm Street,Fitzgerald,GA,31750,,,,85.7,1,0,44,12,3,40,82,12.5,5,3065,,11.7,master only (1)
610,Berrien County,http://www.berrienschools.org,(229)686-2081,810 South Dogwood Drive,Nashville,GA,31639,,,,88.3,0,0,12,9,4,74,66,10.60000038,3,3180,,10.9,master only (1)
611,Bibb County,http://www.bcsdk12.net,(478)765-8711,484 Mulberry St,Macon,GA,31201,,,,76.1,1,0,77,5,3,13,96,10.30000019,3,21812,,20.5,master only (1)
612,Bleckley County,http://www.bleckley.k12.ga.us/,(478)934-2821,242 E Dykes St.,Cochran,GA,31014,,,,95.8,1,0,25,3,3,68,61,14.89999962,0,2550,,9.6,master only (1)
613,Brantley County,http://www.brantley.k12.ga.us,(912)462-6176,272 School Circle,Nahunta,GA,31553,,,,94.4,0,0,3,3,3,91,71,12.39999962,0,3455,,12.5,master only (1)
614,Brooks County,http://www.brooks.k12.ga.us,(229)588-2340,1081 Barwick Road P.O. Box 511,Quitman,GA,31643,,,,89.8,0,0,53,12,3,32,99,10.30000019,6,2184,,22.1,master only (1)
615,Bryan County,http://www.bryan.k12.ga.us/,(912)851-4000,8810 Highway 280 ,Black Creek,GA,31308,,,,93.2,3,0,16,9,6,66,34,11.10000038,2,9750,,10.6,master only (1)
616,Bulloch County,http://www.bulloch.k12.ga.us/,(912)212-8500,150 Williams Rd.,Statesboro,GA,30458,,,,83.5,2,0,37,7,4,50,61,14.30000019,4,10902,,13.9,master only (1)
617,Burke County,http://www.burke.k12.ga.us/,(706)554-5101,789 Burk Veterans Parkway,Waynesboro,GA,30830,,,,91.8,1,0,61,4,4,30,100,11.60000038,2,4255,,12.3,master only (1)
618,Butts County,http://www.butts.k12.ga.us/,(770)504-2300,181 N. Mulberry St.,Jackson,GA,30233,,,,87.8,1,0,33,5,5,57,89,12,1,3516,,12.7,master only (1)
619,Calhoun County,https://www.calhoun.k12.ga.us/,(229)213-0189,10877 Dickey Street,Morgan,GA,39866,,,,92.9,0,0,94,4,1,1,100,8.899999619,0,535,,7.5,master only (1)
620,Camden County,http://www.camden.k12.ga.us/,(912)729-5687,311 South East Street,Kingsland,GA,31548,,,,95.6,1,0,22,9,9,59,46,15.30000019,1,9277,,14.3,master only (1)
621,Candler County,http://www.metter.org/,(912)685-5713,210 South College Street,Metter,GA,30439,,,,96.2,1,0,29,21,3,46,90,14.19999981,3,2227,,12.7,master only (1)
622,Carroll County,http://www.carrollcountyschools.com/,(770)832-3568,164 Independence Dr.,Carrollton,GA,30116,,,,95.1,1,0,17,10,7,66,59,13.60000038,4,15005,,14,master only (1)
623,Catoosa County,http://www.catoosa.k12.ga.us/,(706)965-2297,307 Cleveland Street,Ringgold,GA,30736,,,,89.6,2,0,3,5,4,86,48,16.5,2,10770,,9.5,master only (1)
624,Charlton County,http://www.charlton.k12.ga.us/,(912)496-2596,37 Touchdown Lane,Folkston,GA,31537,,,,90.9,1,0,29,3,6,62,70,14.10000038,0,1689,,12.2,master only (1)
625,Chatham County,https://spwww.sccpss.com/Pages/default.aspx,(912)395-5600,208 Bull St,Savannah,GA,31401,,,,89.7,3,0,57,11,5,24,64,12.39999962,6,37456,,19.2,master only (1)
626,Chattahoochee County,http://www.chattahoochee.k12.ga.us/,(706)989-3775,326 Broad Street,Cusseta,GA,31805,,,,88.3,2,0,27,14,6,52,73,15.89999962,1,930,,18.7,master only (1)
627,Chattooga County,https://www.chattooga.k12.ga.us/,(706)857-3447,33 Middle School Road,Summerville,GA,30747,,,,84.5,0,0,9,7,6,78,75,19,3,2696,,13.8,master only (1)
628,Cherokee County,https://www.cherokeek12.net/,(770)479-1871,1205 Bluffs Parkway,Canton,GA,30114,,,,90.3,2,0,8,20,5,66,29,12.19999981,10,42766,,9.8,master only (1)
629,Clarke County,http://www.clarke.k12.ga.us/,(706)546-7721,440-1 Dearing Extension,Athens,GA,30606,,,,80.9,2,0,48,25,4,21,77,14.89999962,16,13298,,13.2,master only (1)
630,Clay County,http://www.clay.k12.ga.us/,(229)768-2232,111 Commerce St,Fort Gaines,GA,39851,,,,,0,1,96,0,2,2,100,17.39999962,0,223,,8.2,master only (1)
631,Clayton County,http://www.clayton.k12.ga.us/,(770)473-2700,1058 Fifth Avenue,Jonesboro,GA,30236,,,,76.6,3,0,69,22,3,2,93,10.89999962,14,54424,,25.1,master only (1)
632,Clinch County,http://www.clinchcounty.com/,(912)487-5321,46 S. College,Homerville,GA,31634,,,,90.6,1,1,35,5,6,53,76,11.69999981,2,1336,,9.5,master only (1)
633,Cobb County,http://www.cobbk12.org/,(770)426-3300,514 Glover Street,Marietta,GA,30061,,,,88.6,6,0,30,23,4,37,41,13,15,112097,,11.8,master only (1)
634,Coffee County,http://www.coffee.k12.ga.us/,(912)384-2086,1311 S. Peterson Ave.,Douglas,GA,31533,,,,90.4,1,0,30,21,3,45,87,10.30000019,12,7769,,15.8,master only (1)
635,Colquitt County,http://www.colquitt.k12.ga.us/,(229)890-6200,710 Lane Street,Moultrie,GA,31768,,,,87.2,1,0,26,30,3,40,87,12.19999981,21,9447,,12.8,master only (1)
636,Columbia County,https://www.ccboe.net/,(706)541-0650,4781 Hereford Farm Road,Evans,GA,30809,,,,91.9,4,0,21,11,7,57,31,9.699999809,3,28248,,10.5,master only (1)
637,Cook County,http://www.cook.k12.ga.us/,(229)896-2294,1109 N Parrish Avenue,Adel,GA,31620,,,,94.4,1,0,33,11,3,52,74,13.10000038,6,3170,,11,master only (1)
638,Coweta County,http://www.cowetaschools.org/,(770)254-2800,167 Werz Industrial Dr,Newnan,GA,30264,,,,91.6,2,0,23,11,5,59,39,11,4,22855,,10.4,master only (1)
639,Crawford County,https://www.crawfordschools.org/,(478)836-3131,190 Crusselle Street,Roberta,GA,31078,,,,78.3,0,0,20,5,4,70,68,15.19999981,1,1693,,11.4,master only (1)
640,Crisp County,http://www.crispschools.org/,(229)276-3400,201 7th Street South,Cordele,GA,31015,,,,90.8,1,0,58,6,3,32,100,13.30000019,3,3922,,10.3,master only (1)
641,Dade County,http://www.dadecountyschools.org/,(706)657-4361,52 Tradition Lane,Trenton,GA,30752,,,,87.1,1,0,1,3,2,93,56,16,1,2199,,10.7,master only (1)
642,Dawson County,https://dawsoncountyschools.org/,(706)265-3246,28 Main Street ,Dawsonville,GA,30534,,,,95.9,1,0,1,10,2,86,43,15.10000038,4,3640,,11.3,master only (1)
643,Decatur County,http://www.boe.dcboe.com/,(229)248-2200,100 South West Street,Bainbridge,GA,39817,,,,88.8,1,0,50,12,3,35,100,10.39999962,6,4732,,15.2,master only (1)
644,DeKalb County,http://www.dekalb.k12.ga.us/,(678)676-1200,1701 Mountain Industrial Boulevard,Stone Mountain,GA,30083,,,,76,7,0,60,19,2,12,73,10.5,20,98800,,20.1,master only (1)
645,Dodge County,http://www.dodge.k12.ga.us/,(478)374-3783,720 College Street,Eastman,GA,31023,,,,90.9,1,0,34,4,4,56,78,14.80000019,2,3060,,12.9,master only (1)
646,Dooly County,https://www.dooly.k12.ga.us/,(229)268-4761,202 Cotton Street,Vienna,GA,31092,,,,87.6,1,0,70,19,2,8,100,7.400000095,12,1225,,16.2,master only (1)
647,Dougherty County,https://www.docoschools.org/,(229)431-1264,200 Pine Avenue,Albany,GA,31701,,,,83.3,0,0,89,3,2,5,100,10.89999962,3,13882,,12.7,master only (1)
648,Douglas County,http://www.douglas.k12.ga.us/,(770)651-2000,9030 Highway 5,Douglasville,GA,30134,,,,89.4,2,0,55,18,5,21,62,13.5,10,26663,,15.7,master only (1)
649,Early County,http://www.early.k12.ga.us/,(229)723-4337,11927 Columbia Street,Blakely,GA,39823,,,,89.1,1,0,71,3,3,23,100,12.60000038,0,1945,,7.3,master only (1)
650,Echols County,http://www.echols.k12.ga.us/,(229)559-5734,216 Hwy 129 North,Statenville,GA,31648,,,,93.2,0,1,3,45,1,50,91,7.699999809,25,861,,8.3,master only (1)
651,Effingham County,https://www.effinghamschools.com/,(912)754-6491,405 North Ash Street,Springfield,GA,31329,,,,90.8,1,0,16,8,5,70,39,14.60000038,2,12966,,11.1,master only (1)
652,Elbert County,http://www.elbert.k12.ga.us/,(706)213-4000,50 Laurel Drive,Elberton,GA,30635,,,,87,1,0,36,10,4,49,76,14.30000019,4,3068,,7.2,master only (1)
