sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore
601103,601,Appling County,Appling County High School,103,B,81.30000000000001
6011050,601,Appling County,Altamaha Elementary School,1050,C,79.80000000000001
601177,601,Appling County,Appling County Elementary School,177,D,67.5
601195,601,Appling County,Appling County Middle School,195,C,74
601277,601,Appling County,Appling County Primary School,277,,
6015050,601,Appling County,Fourth District Elementary School,5050,D,63
602103,602,Atkinson County,Atkinson County High School,103,C,78.5
602111,602,Atkinson County,Atkinson County Middle School,111,D,69.2
602187,602,Atkinson County,Willacoochee Elementary School,187,B,85.30000000000001
602190,602,Atkinson County,Pearson Elementary School,190,C,74.2
603102,603,Bacon County,Bacon County Primary School,102,,
603202,603,Bacon County,Bacon County Middle School,202,D,64.60000000000001
603302,603,Bacon County,Bacon County High School,302,D,69.10000000000001
6033050,603,Bacon County,Bacon County Elementary School,3050,B,82.10000000000001
604105,604,Baker County,Baker County K12 School,105,D,62.1
605100,605,Baldwin County,Oak Hill MS,100,F,59.1
605189,605,Baldwin County,Baldwin High School,189,C,77.80000000000001
605300,605,Baldwin County,Lakeview Academy,300,D,60
605301,605,Baldwin County,Midway Hills Primary,301,,
605302,605,Baldwin County,Lakeview Primary,302,,
605303,605,Baldwin County,Midway Hills Academy,303,D,60
606105,606,Banks County,Banks County Middle School,105,C,77.5
606107,606,Banks County,Banks County Elementary School,107,C,79
606199,606,Banks County,Banks County High School,199,B,81.90000000000001
606205,606,Banks County,Banks County Primary School,205,,
607101,607,Barrow County,Apalachee High School,101,C,76.90000000000001
607105,607,Barrow County,County Line Elementary School,105,C,76.80000000000001
6071050,607,Barrow County,Auburn Elementary School,1050,C,76
607106,607,Barrow County,Haymon-Morris Middle School,106,C,79.5
607114,607,Barrow County,Bear Creek Middle School,114,C,73.90000000000001
607189,607,Barrow County,Kennedy Elementary School,189,B,80.90000000000001
607193,607,Barrow County,Bramlett Elementary School,193,B,82.2
607198,607,Barrow County,Westside Middle School,198,D,69.7
607205,607,Barrow County,Bethlehem Elementary School,205,B,80.90000000000001
607289,607,Barrow County,Russell Middle School,289,C,76.80000000000001
607298,607,Barrow County,Yargo Elementary School,298,C,71.3
6073052,607,Barrow County,Winder-Barrow High School,3052,C,74.5
6074050,607,Barrow County,Holsenbeck Elementary School,4050,C,72.40000000000001
6075050,607,Barrow County,Statham Elementary School,5050,B,82.2
608101,608,Bartow County,Woodland Middle School at Euharlee,101,C,76.40000000000001
608104,608,Bartow County,Clear Creek Elementary School,104,D,68.7
608105,608,Bartow County,Adairsville High School,105,D,66.7
608106,608,Bartow County,Pine Log Elementary,106,C,72.10000000000001
608107,608,Bartow County,Euharlee Elementary School,107,C,79
608114,608,Bartow County,Cass High School,114,C,71.5
608115,608,Bartow County,Cloverleaf Elementary,115,D,67.3
608175,608,Bartow County,White Elementary School,175,B,80.30000000000001
608177,608,Bartow County,Adairsville Elementary School,177,C,71.10000000000001
608186,608,Bartow County,Mission Road Elementary School,186,C,74.7
608190,608,Bartow County,South Central Middle School,190,D,64
608195,608,Bartow County,Cass Middle School,195,D,69.5
608196,608,Bartow County,Allatoona Elementary School,196,C,72.5
608198,608,Bartow County,Woodland High School,198,C,78.80000000000001
6082052,608,Bartow County,Emerson Elementary School,2052,C,79.40000000000001
