sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore,four_year_graduation_rate,CollegeEnrollment
601103,601,Appling County,Appling County High School,103,B,80.90000000000001,88.800003,
6011050,601,Appling County,Altamaha Elementary School,1050,C,70.60000000000001,,
601177,601,Appling County,Appling County Elementary School,177,C,71.8,,
601195,601,Appling County,Appling County Middle School,195,C,77.10000000000001,,
601277,601,Appling County,Appling County Primary School,277,D,66.10000000000001,,
6015050,601,Appling County,Fourth District Elementary School,5050,C,76.90000000000001,,
602103,602,Atkinson County,Atkinson County High School,103,C,72.3,88.5,
602111,602,Atkinson County,Atkinson County Middle School,111,D,62.7,,
602187,602,Atkinson County,Willacoochee Elementary School,187,D,62.6,,
602190,602,Atkinson County,Pearson Elementary School,190,C,70.60000000000001,,
603102,603,Bacon County,Bacon County Primary School,102,D,68,,
603202,603,Bacon County,Bacon County Middle School,202,D,62.7,,
603302,603,Bacon County,Bacon County High School,302,C,78.90000000000001,94.300003,
6033050,603,Bacon County,Bacon County Elementary School,3050,C,77.60000000000001,,
604105,604,Baker County,Baker County K12 School,105,F,54.90000000000001,77.800003,
605100,605,Baldwin County,Oak Hill MS,100,D,61.3,,
605189,605,Baldwin County,Baldwin High School,189,F,59.8,92.300003,
605300,605,Baldwin County,Lakeview Academy,300,D,66.5,,
605301,605,Baldwin County,Midway Hills Primary,301,F,50.2,,
605302,605,Baldwin County,Lakeview Primary,302,F,48.6,,
605303,605,Baldwin County,Midway Hills Academy,303,F,51.6,,
606105,606,Banks County,Banks County Middle School,105,D,64.40000000000001,,
606107,606,Banks County,Banks County Elementary School,107,B,80.90000000000001,,
606199,606,Banks County,Banks County High School,199,C,73.5,92.699997,
606205,606,Banks County,Banks County Primary School,205,C,77.10000000000001,,
607101,607,Barrow County,Apalachee High School,101,C,77,89.099998,
607105,607,Barrow County,County Line Elementary School,105,C,76.40000000000001,,
6071050,607,Barrow County,Auburn Elementary School,1050,D,61.5,,
607106,607,Barrow County,Haymon-Morris Middle School,106,D,60.6,,
607114,607,Barrow County,Bear Creek Middle School,114,B,82.10000000000001,,
607189,607,Barrow County,Kennedy Elementary School,189,C,77.10000000000001,,
607193,607,Barrow County,Bramlett Elementary School,193,C,79.10000000000001,,
607198,607,Barrow County,Westside Middle School,198,F,59.3,,
607205,607,Barrow County,Bethlehem Elementary School,205,C,72.40000000000001,,
607289,607,Barrow County,Russell Middle School,289,C,71.60000000000001,,
607298,607,Barrow County,Yargo Elementary School,298,C,71.7,,
607299,607,Barrow County,Winder Elementary School,299,C,73.2,,
6073052,607,Barrow County,Winder-Barrow High School,3052,D,69.40000000000001,83.900002,
6074050,607,Barrow County,Holsenbeck Elementary School,4050,C,71.2,,
6075050,607,Barrow County,Statham Elementary School,5050,D,64.3,,
608101,608,Bartow County,Woodland Middle School at Euharlee,101,C,70.3,,
608104,608,Bartow County,Clear Creek Elementary School,104,C,70.40000000000001,,
608105,608,Bartow County,Adairsville High School,105,C,72.5,91.199997,
608106,608,Bartow County,Pine Log Elementary,106,B,81.40000000000001,,
608107,608,Bartow County,Euharlee Elementary School,107,D,66.2,,
608114,608,Bartow County,Cass High School,114,C,75.5,88.699997,
608115,608,Bartow County,Cloverleaf Elementary,115,C,75.40000000000001,,
608175,608,Bartow County,White Elementary School,175,B,88.90000000000001,,
608177,608,Bartow County,Adairsville Elementary School,177,C,74.2,,
608186,608,Bartow County,Mission Road Elementary School,186,B,82.30000000000001,,
608190,608,Bartow County,South Central Middle School,190,D,64.7,,
608195,608,Bartow County,Cass Middle School,195,D,66.60000000000001,,
608196,608,Bartow County,Allatoona Elementary School,196,C,76.3,,
608198,608,Bartow County,Woodland High School,198,C,75.2,82.800003,
6082052,608,Bartow County,Emerson Elementary School,2052,F,59.1,,
608296,608,Bartow County,Kingston Elementary School,296,C,73.2,,
608301,608,Bartow County,Adairsville Middle School,301,C,71.40000000000001,,
608377,608,Bartow County,Hamilton Crossing Elementary School,377,D,65.2,,
608396,608,Bartow County,Taylorsville Elementary School,396,D,69.2,,
609111,609,Ben Hill County,Ben Hill Elementary School,111,F,48.5,,
609196,609,Ben Hill County,Ben Hill County Primary School,196,F,45.7,,
609291,609,Ben Hill County,Fitzgerald High School,291,F,59.8,79.800003,
609296,609,Ben Hill County,Ben Hill County Middle School,296,D,67.7,,
609392,609,Ben Hill County,Hurricane Transition Academy,392,,,,
610101,610,Berrien County,Berrien High School,101,C,76.60000000000001,84.5,
610106,610,Berrien County,Berrien Academy Performance Learning Center,106,D,61.1,48.5,
610194,610,Berrien County,Berrien Middle School,194,B,80.40000000000001,,
610195,610,Berrien County,Berrien Elementary School,195,C,79,,
6105050,610,Berrien County,Berrien Primary School,5050,F,59.1,,
6111005,611,Bibb County,Brookdale Elementary School,1005,F,53.7,,
611103,611,Bibb County,Skyview Elementary School,103,C,77.60000000000001,,
611104,611,Bibb County,Burdell Elementary School,104,F,55.90000000000001,,
611105,611,Bibb County,Howard High School,105,D,68.3,79.699997,
6111050,611,Bibb County,Alexander II Magnet School,1050,B,89.7,,
6111054,611,Bibb County,Bernd Elementary School,1054,C,73,,
6111067,611,Bibb County,Porter Elementary School,1067,C,74.2,,
611108,611,Bibb County,Ballard Hudson Middle School,108,F,55.8,,
611109,611,Bibb County,Bruce Elementary School,109,D,62.7,,
6111105,611,Bibb County,Springdale Elementary School,1105,C,74,,
6111205,611,Bibb County,Carter Elementary School,1205,B,87.80000000000001,,
6111305,611,Bibb County,Lane Elementary School,1305,F,59,,
6111306,611,Bibb County,Martin Luther King Jr Elementary School,1306,D,67.3,,
6111307,611,Bibb County,Southfield Elementary School,1307,F,58.7,,
6111309,611,Bibb County,Veterans Elementary School,1309,F,49.8,,
611186,611,Bibb County,Central High School,186,D,67.10000000000001,83.599998,
611198,611,Bibb County,Westside High School,198,F,53.5,71.699997,
611203,611,Bibb County,Vineville Academy,203,D,67.2,,
611204,611,Bibb County,Rutland High School,204,D,62.6,80.599998,
611205,611,Bibb County,Howard Middle School,205,D,63.5,,
6112060,611,Bibb County,Hartley Elementary School,2060,F,51.5,,
611286,611,Bibb County,Northeast High School,286,F,55.1,81.5,
611298,611,Bibb County,Miller Magnet Middle School,298,D,65.40000000000001,,
611305,611,Bibb County,Rutland Middle School,305,D,65.7,,
6113060,611,Bibb County,Heard Elementary School,3060,D,60.7,,
6113067,611,Bibb County,Ingram/Pye Elementary School,3067,F,53.7,,
611383,611,Bibb County,Williams Elementary School,383,F,57.7,,
611386,611,Bibb County,Southwest High School,386,F,54.1,77.300003,
611405,611,Bibb County,Rosa Taylor Elementary School,405,C,73.60000000000001,,
611505,611,Bibb County,Weaver Middle School,505,F,56.5,,
6115050,611,Bibb County,Appling Middle School,5050,D,63.8,,
611605,611,Bibb County,Heritage Elementary School,605,D,67.60000000000001,,
611705,611,Bibb County,Union Elementary School,705,F,40.2,,
612105,612,Bleckley County,Bleckley County High School,105,B,89,97.400002,
6121050,612,Bleckley County,Bleckley County Primary School,1050,F,58.5,,
612112,612,Bleckley County,Bleckley Middle School,112,B,89.2,,
612115,612,Bleckley County,Bleckley County Success Academy,115,F,40.7,65.599998,
612197,612,Bleckley County,Bleckley County Elementary School,197,B,82.80000000000001,,
613101,613,Brantley County,Waynesville Primary School,101,F,57.3,,
6131050,613,Brantley County,Brantley County High School,1050,D,69.10000000000001,82.800003,
613110,613,Brantley County,Atkinson Elementary School,110,C,77,,
613194,613,Brantley County,Brantley County Middle School,194,B,85.60000000000001,,
