sys_sch,SystemId,systemname,schoolname,SchoolId,gradecluster,Phone_Number,Street,City,State,Zip_Code,DistrictWebsite,total_enroll,Grades,Grade,SingleScore,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,Four_Year_Graduation_Rate,CollegeEnrollment,Mobility,PPE,rtc20
601103,601,Appling County,Appling County High School,103,H,(912)367-8610,482 Blackshear Hwy,Baxley,GA,31513,http://www.appling.k12.ga.us/,1027,9-12,,,1,0,21,14,4,61,90,12.3,2,92.80000000000001,,10,,
6011050,601,Appling County,Altamaha Elementary School,1050,E,(912) 367-3713,344 Altamaha School Road,Baxley,GA,31513,http://www.appling.k12.ga.us/,380,K-5,,,0,0,7,7,3,83,90,14.7,6,,,5.800000000000001,,
601177,601,Appling County,Appling County Elementary School,177,E,(912)367-8640,680 Blackshear Hwy,Baxley,GA,31513,http://www.appling.k12.ga.us/,520,2-5,,,1,0,28,22,4,44,90,17.4,20,,,13.1,,
601195,601,Appling County,Appling County Middle School,195,M,(912)367-8630,2997 Blackshear Hwy,Baxley,GA,31513,http://www.appling.k12.ga.us/,867,6-8,,,1,0,23,18,4,54,90,14.9,13,,,7.9,,
601277,601,Appling County,Appling County Primary School,277,E,(912)367-8642,678 Blackshear Hwy,Baxley,GA,31513,http://www.appling.k12.ga.us/,579,K-2,,,0,0,27,24,4,45,90,11.4,20,,,10.8,,
6015050,601,Appling County,Fourth District Elementary School,5050,E,(912) 367-3250,13396 Blackshear Hwy,Surrency,GA,31563,http://www.appling.k12.ga.us/,160,K-5,,,0,0,13,12,5,69,90,15.1,10,,,15.8,,
602103,602,Atkinson County,Atkinson County High School,103,H,(912)422-3267,145 Rebel Ln,Pearson,GA,31642,http://www.atkinson.k12.ga.us/,486,9-12,,,0,0,16,38,1,44,80,13.7,6,91.90000000000001,,7.7,,
602111,602,Atkinson County,Atkinson County Middle School,111,M,(912)422-3267,145 Rebel Ln,Pearson,GA,31642,http://www.atkinson.k12.ga.us/,418,6-8,,,0,0,13,46,2,40,86,13.3,22,,,9.4,,
602187,602,Atkinson County,Willacoochee Elementary School,187,E,(912)534-5302,430 S. Vickers St.,Willacoochee,GA,31650,http://www.atkinson.k12.ga.us/,193,K-5,,,0,0,25,32,0,43,89,6.5999999,22,,,18,,
602190,602,Atkinson County,Pearson Elementary School,190,E,(912)422-3882,563 N King St,Pearson,GA,31642,http://www.atkinson.k12.ga.us/,605,K-5,,,0,0,13,45,2,40,86,11.1,32,,,10.4,,
