Certificate Field Code,Certificate Field
101,Academic Major - Meets LEA PQ and ESSA In-Field; Charter/SWSS Waiver
102,Course Work - Meets LEA PQ and ESSA In-Field; Charter/SWSS Waiver
103,GACE - Meets LEA PQ and ESSA In-Field; Charter/SWSS Waiver
104,LEA Qualified - Meets LEA PQ. Does not meet ESSA In-FieldCharter/SWSS Waiver
105,CTAE - Meets LEA PQ and ESSA In-Field; Charter/SWSS Waiver 
106,Full Flexibility -Does not meet LEA PQ or ESSA In-Field No T&E funding Char/SWSS
350,Dramatic Writing Micro-Endorsement
410,Montessori Infant Toddler (Birth- 3)
420,Montessori PK2- K (Ages 2 1/2 - 6)
430,Montessori Elementary I Grades 1st- 3rd (Ages 6 - 9)
440,Montessori Elementary I - II Grades 1st - 6th (Ages 6 - 12)
450,Montessori Secondary I Grades 7th - 9th (Ages 12 - 15)
451,Concentration: Secondary I Language Arts & Social Studies
452,Concentration: Secondary I Science & Mathematics
460,Montessori Secondary I - II Grades 7th- 12th (Ages 12 - 18)
461,Concentration: Secondary II English
462,Concentration: Secondary II Social Studies
463,Concentration: Secondary II Science
464,Concentration: Secondary II Mathematics
501,Agricultural Mechanics
502,Forestry
503,Ornamental Horticulture
504,Advertising
505,Apparel and Accessories
506,Wholesale Trade
507,Care and Guidance of Children
508,Clothing Management
509,Food Management 
510,Home Furnishings and Equipment
511,Institutional and Home Management
512,Data Processing
513,Heat-Air-Refrigeration
514,Auto Mechanics
515,Business Machine Maintenance
516,Commercial Arts Occupations
517,Carpentry
518,Masonry
519,Electrical Occupations
520,Radio and Television
521,Machine Shop
522,Sheet Metal
523,Welding and Cutting
524,Barbering
525,Cosmetology
526,Quantity Food Occupations/Cluster
527,Small Engine Repair
528,Leatherworking
529,Upholstering
530,Millwork and Cabinet Making
531,Esthetics
534,Nails
535,Dental Assisting
541,Medical Office Assisting
554,Electro-Mechanical Technology
561,Law Enforcement
564,Marine Service Technology
566,Commercial Photography Occupations
571,Diesel Mechanics
578,Textile Production and Fabrication
579,GRAPHIC ARTS OCCUPATIONAL CLUSTER
580,Body and Fender Repair Cluster
586,General Merchandise
587,Health Occupations Cluster
588,Electro-Mechanical Cluster
589,Transportation Cluster
590,Construction Cluster
591,Electronics Occupations Cluster
592,Mass Communications Cluster
593,Fabric Maintenance
594,Graphic Arts
595,Metal Working Occupations Cluster
596,Public Service - Other
598,Drafting Occupations Cluster
599,Law Enforcement Cluster
608,Granite-Cutting
611,Flight Operations
619,Healthcare Science 
620,HSTE Registered Nurse
621,HSTE - Radiological Technologist
622,HSTE - Laboratory Technologist
623,HSTE - Dental Assistant
624,HSTE - Physical Therapist
625,HSTE - Respiratory Therapist
626,HSTE - Emergency Medical Technician
640,JROTC
641,JROTC-Army
642,JROTC-Navy
643,JROTC-Air Force
644,JROTC-Marine Corps
650,Automotive Service Technology
651,Aviation Maintenance
652,Audio/Visual Technology & Film
653,Collision Repair
654,Distribution and Logistics
655,Commercial Art Technology
656,Construction
657,Electronics Technology
658,Architectural Drawing and Design
659,Granite Technology
660,Graphic Communication and Design
661,HVACR
662,IT/Information Services and Support
663,IT/Network Systems
664,IT/Programming and Software Development
665,IT/Interactive Media
667,Manufacturing and Engineering Sciences
668,Precision Machine Technology
669,Culinary Arts (6-12)
670,"Law, Public Safety, Corrections and Security "
671,Sheet Metal
672,Telecommunications
673,Welding Technology
676,IT/Cybersecurity
677,Health Information Technology
678,Computer Animation
680,Government and Public Administration
691,Paraprofessional Educator
692,Non- Insructional Aide
693,Support Personnel License
694,Clearance Certificate
695,Educational Interpreter License
700,Educational Leadership - Tier I
702,Elementary Grades (P-8)
704,Educational Leadership (P-12)
705,Ed Leadership Pre-Service (P-12)
706,Ed Leadership Building Level (P-12)
707,Ed Leadership System Level (P-12)
708,Special Ed General Curriculum / Elementary Ed (P-5)
