"Certificate Code","Certificate Type","Category","Salary Type","Currently Issued?"
"  B","Provisional","Provisional","B","N"
"  D","Teacher","Professional","T","N"
"  G","Librarian","","","N"
"  J","Adjunct License","Provisional","B","Y"
"  P","Permit","Provisional","B","Y"
" AS","Administration & Supervision","","","N"
" BL","Provisional","Provisional","B","N"
" BS","Provisional","Provisional","B","Y"
" BT","Provisional","Provisional","B","Y"
" BV","Provisional","Provisional","B","N"
" CL","Conditional","Professional","T","N"
" CS","Conditional","Professional","T","N"
" CT","Conditional","Professional","T","N"
" DA","Life","Professional","T","N"
" DD","Life","Professional","T","N"
" DL","Life","Professional","T","Y"
" DP","Life-","Professional","T","N"
" DS","Life","Professional","T","Y"
" DT","Life","Professional","T","Y"
" EI","Educational Interpreter","","T","Y"
" ES","Emergency","Professional","T","N"
" ET","Emergency","Professional","T","N"
" GA","Librarian","","","N"
" GB","Librarian Level 5","","","N"
" MS","Media Specialist","","","N"
" NL","Nonrenewable Leadership","Professional/Provisional","T","Y"
" NP","Nonrenewable Permit","Provisional","B","Y"
" NS","Nonrenewable Service","Professional/Provisional","T","Y"
" NT","Nonrenewable Teaching","Professional","T","Y"
" SC","School Counselor","","","N"
" SP","Support Personnel","","T","Y"
" WL","Waiver Leadership","Professional","T","Y"
" WP","Waiver Permit","Provisional","B","Y"
" WS","Waiver Service","Professional","T","Y"
" WT","Waiver","Professional","T","Y"
" XT","International Exchange Teacher","Professional","T","Y"
"1IM","One-year Induction Montesorri","Professional","T","Y"
"1IT","One-year Induction Teaching","Professional","T","Y"
"1MS","Military Provisional 1 Service","Provisional  ","B","Y"
"1MT","Military Provisional 1 Teaching","Provisional  ","B","Y"
"2MS","Military Provisional 2 Service","Provisional  ","B","Y"
"2MT","Military Provisional 2 Teaching","Provisional  ","B","Y"
"3IM","Three-year Induction Montesorri","Professional","T","Y"
"3IS","Three-year Induction Service","Professional","T","Y"
"3IT","Three-year Induction Teaching","Professional","T","Y"
"3MS","Military Provisional 3 Service","Provisional  ","B","Y"
"3MT","Military Provisional 3 Teaching","Provisional  ","B","Y"
"5IM","Five-year Induction Montesorri","Professional","T","Y"
"5IT","Five-year Induction Teaching","Professional","T","Y"
"APT","Advanced Professional Teaching","Professional","T","Y"
"BM","Provisional Montesorri","Provisional ","B","Y"
"C","Clearance","","","Y"
"CHW","GaDOE","Professional","T","Y"
"D#S","Service","Professional","T","N"
"D$S","Service","Professional","T","N"
"D$T","Teacher","Professional","T","N"
"DAS","Life","Professional","T","N"
"DDE","Director","Professional","T","N"
"DIS","Instructional","Professional","T","N"
"DMS","Media","Professional","T","N"
"DSC","School","Professional","T","N"
"DSL","School","Professional","T","N"
"DSP","School","Professional","T","N"
"DSW","School","Professional","T","N"
"DTS","Life","Professional","T","N"
"DVE","Director","Professional","T","N"
"DVT","Visiting","Professional","T","N"
"EBT","Emergency","Provisional","B","N"
"EL","Emergency","Professional","T","N"
"ENS","Emergency","Provisional","B","N"
"EPS","Emergency","","","N"
"EPT","Emergency","","","N"
"EX","International","Professional","T","N"
"I1S","Induction Pathway 1 Service","Professional","T","Y"
"I1T","Induction Pathway 1 Teaching","Professional","T","Y"
"I2S","Induction Pathway 2 Service","Professional","T","Y"
"I2T","Induction Pathway 2 Teaching","Professional","T","Y"
"I3M","Induction Pathway 3 Montesorri","Professional ","T","Y"
"I3S","Induction Pathway 3 Service","Professional","T","Y"
"I3T","Induction Pathway 3 Teaching","Professional","T","Y"
"I4M","Induction Pathway 4 Montesorri","Provisional  ","B","Y"
"I4S","Induction Pathway 4 ","Provisional","B","Y"
"I4T","Induction Pathway 4 Teaching","Provisional ","B","Y"
"LPT","Lead Professional Teaching","Professional","T","Y"
"M1T","Military Induction Pathway 1 Teaching","Professional","T","Y"
"M2T","Military Induction Pathway 2 Teaching","Professional","T","Y"
"M3T","Military Induction Pathway 3 Teaching","Professional","T","Y"
"M4S","Military Induction Pathway 4 Service","Professional","T","Y"
"M4T","Military Induction Pathway 4 Teaching","Provisional","B","Y"
"MIS","Military Supplemental Induction Service","Professional","T","Y"
"MIT","Military Supplemental Induction Teaching","Professional","T","Y"
"MNL","Military Nonrenewable Leadership ","Professional","T","Y"
"MNS","Military Nonrenewable Service","Professional","T","Y"
"MNT","Military Nonrenewable Teaching","Professional","T","Y"
"MRL","Military Standard Professional Leadership","Professional","T","Y"
"MRS","Military Standard Professional Service","Professional","T","Y"
"MRT","Military Standard Professional Teaching","Professional","T","Y"
"N1L","One-year Nonrenewable Leadership","Professional","T","Y"
"N1M","One-year Nonrenewable Montesorri","Professional","T","Y"
"N1S","One-year Nonrenewable Service","Professional","T","Y"
"N1T","One-year Nonrenewable Teaching","Professional","T","Y"
"N3L","Three-year Nonrenewable Leadership","Professional","T","Y"
"N3M","Three-year Nonrenewable Montesorri","Professional","T","Y"
"N3S","Three-year Nonrenewable Service","Professional","T","Y"
"N3T","Three-year Nonrenewable Teaching","Professional","T","Y"
"NCE","Non-Certified","","","N"
"NEI","Nonrenewable Educational Interpreter","","T","Y"
"NPL","Leadership","Professional","T","Y"
"P!T","Performance Based 1 Year","","","N"
"P2L","Preformance-Based Tier 2 Leadership","Professional","T","Y"
"PAL","Probationary","Professional","T","N"
"PAS","Probationary","Professional","T","N"
"PAT","Probationary","Professional","T","N"
"PRL","Performance-Based Professional Leadership","Professional","T","Y"
"PRM","Performance-Based Professional Montesorri  ","Professional ","T","Y"
"PRS","Performance-Based Professional Service","Professional","T","Y"
"PRT","Performance-Based Professional Teaching","Professional","T","Y"
"SIS","Supplemental Induction - Service","Professional","T","Y"
"SIT","Supplemental Induction - Teaching","Professional","T","Y"
"SRL","Standard Professional Leadership","Professional","T","Y"
"SRM","Standard Professional Montesorri ","Professional ","T","Y"
"SRS","Standard Professional Service","Professional","T","Y"
"SRT","Standard Professional Teaching","Professional","T","Y"
"WBL","Waiver","Provisional","B","N"
"WBS","Waiver","Provisional","B","N"
"WBT","Waiver","Provisional","B","N"
"WBV","Waiver","Provisional","B","N"
"WCL","Waiver","Professional","T","N"
"WCS","Waiver","Professional","T","N"
"WCT","Waiver","Professional","T","N"
"WEI","Wavier Educational Interpreter","","T","Y"
"WEL","Waiver","Professional","T","N"
"WES","Waiver","Professional","T","N"
"WET","Waiver","Professional","T","N"
"WIL","Waiver","Provisional","B","N"
"WIS","Waiver","Provisional","B","N"
"WIT","Waiver","Provisional","B","N"
"WM","Waiver Montesorri   ","Professional ","T","Y"
"WNL","Waiver","Professional","T","N"
"WNS","Waiver","Professional","T","N"
"WNT","Waiver","Professional/Provisional","T","N"
"WPL","Waiver","Professional","T","N"
"WPS","Waiver","Professional","T","N"
"WPT","Waiver","Professional","T","N"
"WXL","Waiver","Professional","T","N"
"WXS","Waiver","Professional","T","N"
"WXT","Waiver","Professional","T","N"
"XBT","Special","Provisional","B","N"
