"Fund Code","Fund Description"
"00","State or Local Funds"
"01","State/Locally Funded Consolidated Employees (For CoF Sites Only)"
"02","Federally Funded Consolidated Employees (For CoF Sites Only)"
"03","CARES/ CRRSA / ARP ESSER Grants"
"50","IDEA Individuals with Disabilities Education Act - LEA Federal Grant"
"51","Title I Elementary and Secondary Education Act of 1995"
"52","ARRA Grants (Not Including Stabilization Grants)"
"53","Title VI-B Individuals with Disabilities Education Act - GLRS/Child Serve"
"54","Title VI Improving America's School Act"
"55","IDEA Individuals with Disabilities Education Act - Preschool Grant"
"56","IDEA Individuals with Disabilities Education Act - GNETS"
"58","Title IV Safe & Drug-Free Schools, Improving America's School Act"
"59","Other Federally Funded"
"60","Fresh Fruit and Vegetable Program"
"61","School Improvement Grants"
"62","Title IV-B 21st Century Community"
"63","USDA - Summer Food Program"
"64","Title III-A"
"65","Striving Readers"
"66","Title II-A"
"71","Title I Part C Migrant Education, Elementary & Secondary Education Act of 1995"
"72","Regional Educational Services Agency - State Grant"
"74","GNETS State Grant"
"76","CTAE Extended Day or Extended Year - State Grant"
"81","Lottery Funds"
"83","Alternative School Grant Funds"
"88","Other Funded - Non-Federal"
