school_year,loc_code,school,cll_percent,cd_percent,apl_sed_percent,percent_correct,gt70,n,grp_cat,stu_grp,cll_lab,cd_lab,apl_sed_lab,tot_lab,gt70_lab,n_lab,score_group
2022,090,Annistown ES,60.6978879706153,58.5858585858586,75,63.6574074074074,50,66,All,All Students,60.7,58.6,75.0,63.7,50.0,66,2
2022,095,Arcado ES,61.1276701440636,58.5480093676815,68.2149362477231,62.1470856102004,35.2459016393443,122,All,All Students,61.1,58.5,68.2,62.1,35.2,122,2
2022,100,Beaver Ridge ES,44.7437336326225,39.3592004703116,64.0603566529493,48.0024005486969,19.1358024691358,162,All,All Students,44.7,39.4,64.1,48.0,19.1,162,1
2022,115,Benefield ES,58.7481962481963,53.8832199546485,79.1666666666667,62.4338624338624,41.0714285714286,168,All,All Students,58.7,53.9,79.2,62.4,41.1,168,2
2022,120,Berkeley Lake ES,61.6813294232649,57.9493087557604,73.8351254480287,63.6312724014337,45.1612903225806,124,All,All Students,61.7,57.9,73.8,63.6,45.2,124,2
2022,150,Bethesda ES,56.9964349376114,52.5210084033614,69.6350762527233,58.8507625272331,34.8039215686275,204,All,All Students,57.0,52.5,69.6,58.9,34.8,204,2
2022,155,Alford ES,54.249815225425,48.664343786295,80.4426377597109,59.1689250225836,34.9593495934959,123,All,All Students,54.2,48.7,80.4,59.2,35.0,123,2
2022,175,Britt ES,63.5318704284222,52.7093596059113,82.1200510855683,65.0223499361431,43.6781609195402,87,All,All Students,63.5,52.7,82.1,65.0,43.7,87,2
2022,180,Brookwood ES,69.1841491841492,67.9120879120879,74.5299145299145,70.1495726495727,61.025641025641,195,All,All Students,69.2,67.9,74.5,70.1,61.0,195,3
2022,200,Camp Creek ES,72.1048321048321,66.8725868725869,80.1801801801802,72.5975975975976,65.4054054054054,185,All,All Students,72.1,66.9,80.2,72.6,65.4,185,3
2022,240,Cedar Hill ES,55.1606288448394,53.0970282849982,72.8070175438597,58.9703425229741,30.8270676691729,133,All,All Students,55.2,53.1,72.8,59.0,30.8,133,2
2022,250,Centerville ES,64.2690642690643,56.2532705389848,81.0744810744811,66.1324786324786,45.0549450549451,91,All,All Students,64.3,56.3,81.1,66.1,45.1,91,2
2022,277,Winn Holt ES,63.979797979798,55.3015873015873,82.2222222222222,66.0092592592593,46.6666666666667,150,All,All Students,64.0,55.3,82.2,66.0,46.7,150,2
2022,280,Chattahoochee ES,65.3709508881923,63.3497536945813,70.3831417624521,66.0344827586207,48.9655172413793,145,All,All Students,65.4,63.3,70.4,66.0,49.0,145,2
2022,293,Cooper ES,69.6307335651598,66.5886026541764,76.775956284153,70.529751062538,60.655737704918,183,All,All Students,69.6,66.6,76.8,70.5,60.7,183,3
2022,298,Craig ES,70.0873768358431,66.0531697341513,74.505794137696,70.0153374233129,55.2147239263804,163,All,All Students,70.1,66.1,74.5,70.0,55.2,163,3
2022,300,Dacula ES,70.5596107055961,62.4956551963851,73.2360097323601,68.8767234387672,50.3649635036496,137,All,All Students,70.6,62.5,73.2,68.9,50.4,137,2
2022,355,Chesney ES,50.1136363636364,44.7619047619048,68.6111111111111,53.1770833333333,27.5,160,All,All Students,50.1,44.8,68.6,53.2,27.5,160,1
2022,400,Dyer ES,63.7114951164538,60.9996064541519,55.5096418732782,60.8700642791552,37.1900826446281,121,All,All Students,63.7,61.0,55.5,60.9,37.2,121,2
2022,415,Fort Daniel ES,67.0902574128381,63.6968766001024,77.5985663082437,68.7275985663083,53.7634408602151,93,All,All Students,67.1,63.7,77.6,68.7,53.8,93,2
2022,420,Freeman's Mill ES,71.8181818181818,67.032967032967,75.7264957264957,71.3995726495727,58.4615384615385,130,All,All Students,71.8,67.0,75.7,71.4,58.5,130,3
2022,425,Grayson ES,70.3030303030303,67.0238095238095,85,73.0208333333333,67.5,120,All,All Students,70.3,67.0,85.0,73.0,67.5,120,3
2022,430,Gwin Oaks ES,69.1387559808613,64.9436090225564,75.8406432748538,69.5906432748538,55.921052631579,152,All,All Students,69.1,64.9,75.8,69.6,55.9,152,2
2022,443,Duncan Creek ES,71.1867276113086,67.0657089651503,78.7088764742396,71.8653010552452,61.4525139664805,179,All,All Students,71.2,67.1,78.7,71.9,61.5,179,3
2022,445,Harbins ES,72.0115730165981,64.3694663795166,88.107202680067,73.8065326633166,72.8643216080402,199,All,All Students,72.0,64.4,88.1,73.8,72.9,199,3
2022,450,Harmony ES,71.2987012987013,66.2585034013605,85.7936507936508,73.452380952381,62.8571428571429,70,All,All Students,71.3,66.3,85.8,73.5,62.9,70,3
2022,463,Ivy Creek ES,68.8987435328899,66.1091753774681,80.840108401084,71.070460704607,60.9756097560976,205,All,All Students,68.9,66.1,80.8,71.1,61.0,205,3
2022,475,Harris ES,58.9154704944179,55.5889724310777,72.9239766081871,61.4473684210526,37.8947368421053,95,All,All Students,58.9,55.6,72.9,61.4,37.9,95,2
2022,480,Head ES,71.3952713952714,67.9225536368393,87.2405372405372,74.3437118437119,68.1318681318681,91,All,All Students,71.4,67.9,87.2,74.3,68.1,91,3
2022,490,Hopkins ES,47.7764659582841,41.6821273964131,63.7806637806638,50,22.0779220779221,154,All,All Students,47.8,41.7,63.8,50.0,22.1,154,1
2022,493,Jackson ES,60.2449364107395,59.4867999013077,63.6729994242948,60.880829015544,35.7512953367876,193,All,All Students,60.2,59.5,63.7,60.9,35.8,193,2
2022,495,Kanoheda ES,58.0058651026393,54.5929339477727,70.6451612903226,60.1702508960574,35.4838709677419,155,All,All Students,58.0,54.6,70.6,60.2,35.5,155,2
2022,500,Knight ES,62.4747474747475,57.3809523809524,81.8518518518519,65.8333333333333,42.5,120,All,All Students,62.5,57.4,81.9,65.8,42.5,120,2
2022,501,Lovin ES,66.1114966458478,62.2319156670302,70.568278201866,66.0941475826972,49.618320610687,131,All,All Students,66.1,62.2,70.6,66.1,49.6,131,2
2022,502,Ferguson ES,52.9545454545455,43.531746031746,73.6111111111111,55.3703703703704,32.5,120,All,All Students,53.0,43.5,73.6,55.4,32.5,120,2
2022,503,Mulberry ES,67.5222816399287,67.1148459383753,60.718954248366,65.702614379085,47.0588235294118,85,All,All Students,67.5,67.1,60.7,65.7,47.1,85,2
2022,504,Patrick ES,63.8636363636364,58.8888888888889,78.75,66.1342592592593,46.6666666666667,120,All,All Students,63.9,58.9,78.8,66.1,46.7,120,2
2022,508,Trip ES,66.3949843260188,64.2036124794745,74.0613026819923,67.6724137931035,49.6551724137931,145,All,All Students,66.4,64.2,74.1,67.7,49.7,145,2
2022,512,Roberts ES,71.2972420837589,69.983948635634,77.7777777777778,72.5343320848939,69.6629213483146,89,All,All Students,71.3,70.0,77.8,72.5,69.7,89,3
2022,513,White Oak ES,74.047404740474,67.8925035360679,77.5027502750275,73.1160616061606,63.3663366336634,101,All,All Students,74.0,67.9,77.5,73.1,63.4,101,3
2022,519,Rosebud ES,66.2232076866223,59.9303135888502,83.7850045167119,68.7782294489612,54.4715447154472,123,All,All Students,66.2,59.9,83.8,68.8,54.5,123,2
2022,520,Woodward Mill ES,66.9258373205742,62.34335839599,79.0204678362573,68.6129385964912,55.2631578947369,152,All,All Students,66.9,62.3,79.0,68.6,55.3,152,2
2022,521,Starling ES,68.9167120304845,64.6706586826347,83.3998669328011,71.2990685296075,57.4850299401198,167,All,All Students,68.9,64.7,83.4,71.3,57.5,167,3
2022,524,Jenkins ES,58.4066471163246,55.2995391705069,82.5268817204301,63.5304659498208,42.741935483871,124,All,All Students,58.4,55.3,82.5,63.5,42.7,124,2
2022,527,Puckett's Mill ES,71.3286713286713,68.5504971219257,76.4346764346764,71.7948717948718,63.7362637362637,91,All,All Students,71.3,68.6,76.4,71.8,63.7,91,3
2022,529,Burnette ES,70.2280537332084,65.9302896416298,86.8843069873998,73.1386025200458,62.8865979381443,97,All,All Students,70.2,65.9,86.9,73.1,62.9,97,3
2022,531,Anderson-Livsey ES,64.4688644688645,58.5034013605442,81.6239316239316,67.0177045177045,45.0549450549451,91,All,All Students,64.5,58.5,81.6,67.0,45.1,91,2
2022,535,Baggett ES,55.4269972451791,52.4386724386724,67.979797979798,57.6936026936027,31.5151515151515,165,All,All Students,55.4,52.4,68.0,57.7,31.5,165,2
2022,541,Graves ES,40.5956112852665,37.3563218390805,52.7298850574713,42.6843869731801,12.0689655172414,116,All,All Students,40.6,37.4,52.7,42.7,12.1,116,1
2022,547,Baldwin ES,48.1331168831169,42.8571428571429,80.4563492063492,54.6750992063492,20.5357142857143,112,All,All Students,48.1,42.9,80.5,54.7,20.5,112,2
2022,548,North Metro Academy,74.1991341991342,64.3537414965986,87.6190476190476,74.6825396825397,68.5714285714286,35,All,All Students,74.2,64.4,87.6,74.7,68.6,35,3
2022,550,Lawrenceville ES,60.0219058050383,53.3562822719449,86.8808567603749,64.7925033467202,43.3734939759036,83,All,All Students,60.0,53.4,86.9,64.8,43.4,83,2
2022,600,Lilburn ES,47.2882672882673,42.8571428571429,66.5811965811966,50.8190883190883,23.0769230769231,195,All,All Students,47.3,42.9,66.6,50.8,23.1,195,1
2022,628,Magill ES,61.7568085922516,57.6552139843279,74.3670886075949,63.7130801687764,41.1392405063291,158,All,All Students,61.8,57.7,74.4,63.7,41.1,158,2
2022,630,Mason ES,61.3005050505051,60.9126984126984,67.7083333333334,62.7893518518519,41.6666666666667,96,All,All Students,61.3,60.9,67.7,62.8,41.7,96,2
2022,635,McKendree ES,66.851723340273,61.5776081424936,69.0839694656489,65.8715012722646,53.4351145038168,131,All,All Students,66.9,61.6,69.1,65.9,53.4,131,2
2022,638,Meadowcreek ES,49.4722505958461,45.4521134296415,63.8576779026217,51.8960674157303,20.2247191011236,178,All,All Students,49.5,45.5,63.9,51.9,20.2,178,1
2022,645,Minor ES,55.7531840140536,50.552104899931,72.3027375201288,58.3735909822866,28.2608695652174,138,All,All Students,55.8,50.6,72.3,58.4,28.3,138,2
2022,650,Mountain Park ES,69.5454545454546,65.0595238095238,70.2083333333333,68.4027777777778,47.5,80,All,All Students,69.5,65.1,70.2,68.4,47.5,80,2
