school,loc_code,level,cluster,prin_lgl_nm,prin_beg_dt,year_opened,enrollment_n,k12_enr_n,attendance_pct,mobility,free,eoy_dt,prin_year,prin_since,sys_id,sch_id,sspi,title_i,grade,star_rtg,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma
Riverside ES,798,ES,North Gwinnett,Benjamin J. Pope,2013-11-25,2000,1032,986,98.07,0.0920542635658915,8.62068965517241,2022-07-01,8.26575342465753,"November 25, 2013",667,0400,1.1115016865165,N,A,4,97.4,84.458,75.286,91.415,86.674,95,78.2,87.9,81,90,85.2,87.3
Level Creek ES,728,ES,North Gwinnett,Daniel Liam Skelton,2013-07-01,2005,1068,1031,98.51,0.0786516853932584,4.364694471387,2022-07-01,8.66849315068493,"July 1, 2013",667,1405,1.15161310539572,N,A,4,97.3,85.751,74.62,93.491,89.141,95.5,74.9,86.7,79.4,86,84.2,87.9
Roberts ES,512,ES,North Gwinnett,Dion D. Jones,2010-07-01,2011,958,910,98.2,0.11482254697286,8.68131868131868,2022-07-01,11.6684931506849,"July 1, 2010",667,1014,0.835136041403511,N,A,4,95.4,85.161,72.996,93.404,89.083,95.6,68.8,80,77.7,84.1,81.4,80.2
Burnette ES,529,ES,Peachtree Ridge,Sally S. Lehmann,2021-07-01,2011,706,664,97.46,0.18271954674221,25.4518072289157,2022-07-01,0.668493150684932,"July 1, 2021",667,1017,0.726630583021189,Y,B,5,86.8,80.761,71.236,87.356,83.69,98.1,66.7,78.7,69,75.5,68.1,61
Suwanee ES,925,ES,North Gwinnett,Mary E. Taylor,2018-06-25,1959,714,670,98.17,0.138655462184874,12.9850746268657,2022-07-01,3.68493150684932,"June 25, 2018",667,5058,0.460019648836465,N,B,4,89.9,83.745,75.398,88.15,87.689,94.7,65.4,79.8,68.3,84.2,70.7,75
Parsons ES,853,ES,Peachtree Ridge,Laura J. Clark,2019-06-03,2004,834,787,98,0.146282973621103,17.0266836086404,2022-07-01,2.74520547945206,"June 3, 2019",667,0705,0.595255037096678,N,A,4,90.6,81.604,72.5,87.833,84.48,92.3,70.5,76.8,81.4,81.4,77.2,69.1
Mason ES,630,ES,Peachtree Ridge,David W. Jones,2012-12-03,1998,949,882,97.59,0.165437302423604,29.3650793650794,2022-07-01,9.24383561643836,"December 3, 2012",667,0298,0.613739038443777,Y,A,5,91.7,82.502,72.076,86.802,88.627,97.8,62.1,71.3,61.9,72.5,63.5,63.5
Mason ES,630,ES,Peachtree Ridge,David W. Jones,2012-12-03,1998,949,882,97.59,0.165437302423604,29.3650793650794,2022-07-01,9.24383561643836,"December 3, 2012",667,0298,0.613739038443777,Y,A,5,91.7,82.502,72.076,86.802,88.627,97.8,62.1,71.3,61.9,72.5,63.5,63.5
Jackson ES,493,ES,Peachtree Ridge,Kara L. Dutton,2017-07-03,1995,1537,1461,97.64,0.165256994144437,45.5167693360712,2022-07-01,4.66301369863014,"July 3, 2017",667,0395,0.724331467245862,Y,C,5,76.3,82.096,68.684,86.492,91.111,97.7,39.5,52.3,47.3,57.5,47.9,48.8
Mulberry ES,503,ES,Dacula,Mandy Teresa Yearby,2019-07-01,2008,731,683,96.91,0.177838577291382,25.3294289897511,2022-07-01,2.66849315068493,"July 1, 2019",667,0208,0.619546260520922,Y,A,5,93.6,84.167,70.084,90.685,91.733,99.3,54.1,66.4,65.9,67.4,64.9,62.4
Dacula ES,300,ES,Dacula,Hollis Mesimer Warren,2015-06-01,1991,1202,1144,97.13,0.197171381031614,41.6958041958042,2022-07-01,6.75068493150685,"June 1, 2015",667,0191,0.572128472084483,Y,B,4,80.2,82.256,72.876,87.208,86.684,96.1,57.4,63.9,45.1,60.4,55.1,49.3
Harbins ES,445,ES,Archer,Jennifer Pethel Chatham,2015-07-01,1996,1451,1376,98.3,0.117849758787043,36.3372093023256,2022-07-01,6.66849315068493,"July 1, 2015",667,0196,0.229730646156998,Y,C,5,71.5,81.47,71.004,88.151,85.256,96.9,57.8,70.8,49.6,56.5,54.1,49.6
Simonton ES,818,ES,Central Gwinnett,Tamara G. Perkins,2019-06-03,1994,809,749,97.67,0.203955500618047,66.4886515353805,2022-07-01,2.74520547945206,"June 3, 2019",667,0394,-0.397389244361221,Y,D,4,68.5,78.011,67.383,83.18,83.471,95.8,40,38.8,36.4,45.1,40.1,36.7
Lovin ES,501,ES,Archer,"Reginald Kevin Payne, Jr.",2019-01-02,2008,880,813,97.49,0.175,53.9975399753998,2022-07-01,3.16164383561644,"January 2, 2019",667,0210,0.115406788345908,Y,B,5,84.1,86.232,73.272,89.57,95.853,98.2,50,54.8,36.6,49.7,53.7,46.9
Cooper ES,293,ES,Archer,Paul B. Willis,2019-01-02,2004,1513,1417,97.55,0.136814276272307,34.0860973888497,2022-07-01,3.16164383561644,"January 2, 2019",667,0605,0.514168380573835,N,B,4,85.5,82.644,73.898,89.732,84.303,93,56.1,55.6,58.9,68.8,59.7,56.1
Lawrenceville ES,550,ES,Central Gwinnett,Grelauris Adelfa Calcano,2017-06-19,1963,695,634,96.87,0.307913669064748,70.9779179810726,2022-07-01,4.7013698630137,"June 19, 2017",667,5054,-1.14624258011006,Y,B,4,80.8,79.069,70.405,80.838,85.965,94.2,41.1,45.4,33.7,43.9,30.7,26.3
Cedar Hill ES,240,ES,Discovery,Jose M. DeJesus,2016-07-01,1989,968,913,97.32,0.206611570247934,61.5553121577218,2022-07-01,5.66849315068493,"July 1, 2016",667,0389,0.159410644135737,Y,C,4,72.5,77.098,67.978,78.172,85.145,94.9,41,45.1,39,44,41.5,35.2
Winn Holt ES,277,ES,Central Gwinnett,Ellyce A. Cone,2014-06-02,2005,1134,1088,97.1,0.155202821869489,60.3860294117647,2022-07-01,7.74794520547945,"June 2, 2014",667,1305,-0.971108396625396,Y,D,5,65,81.685,73.061,85.768,86.224,96.4,37.6,46.8,35,46.5,37.5,35.1
Starling ES,521,ES,Grayson,Jacinta Z. Henry,2018-04-20,2010,1165,1109,98.33,0.130472103004292,33.3633904418395,2022-07-01,3.86575342465753,"April 20, 2018",667,1110,0.564912938971133,Y,B,5,80.3,84.426,74.56,91.446,87.27,97.8,60.7,68.7,60.2,71.4,59.9,59.9
Grayson ES,425,ES,Grayson,Christopher William Brown,2011-02-11,1931,964,905,97.32,0.154564315352697,25.9668508287293,2022-07-01,11.0520547945205,"February 11, 2011",667,2052,0.482550552687413,Y,B,5,87,86.831,78.056,93.804,88.633,98.5,72,78.4,70.8,74.4,67.1,65.8
Trip ES,508,ES,Grayson,Rukina Djon Walker,2013-07-01,2009,1343,1247,98.25,0.161578555472822,40.8179631114675,2022-07-01,8.66849315068493,"July 1, 2013",667,0509,0.382005093490101,Y,A,4,90.8,80.5,68.47,88.506,84.524,96,68.9,77.8,59,64.5,73.8,75.1
Pharr ES,780,ES,Grayson,Joseph D. Sanfilippo,2021-07-01,1991,732,687,97.72,0.151639344262295,47.3071324599709,2022-07-01,0.668493150684932,"July 1, 2021",667,0391,0.701159806656043,Y,A,5,91.4,82.643,71.034,89.671,87.225,98.3,60.1,69.1,67.2,68.8,70.9,74.2
Norton ES,730,ES,South Gwinnett,Melanie A. Lee,2017-07-03,1987,1063,952,98.22,0.23236124176858,60.7142857142857,2022-07-01,4.66301369863014,"July 3, 2017",667,0287,-0.0901992889408036,Y,B,4,80.2,77.303,69.031,79.782,83.094,95.1,49.1,53.4,44.9,55.1,43.7,43.2
Magill ES,628,ES,South Gwinnett,Cheri P. Carter,2022-01-24,1997,1270,1184,97.45,0.177165354330709,62.5,2022-07-01,0.101369863013699,"January 24, 2022",667,0397,0.220649038601016,Y,C,4,77,76.356,67.619,77.803,83.645,93.6,34.3,40.7,39.2,48.7,50,29
