obj_id,obj_name,obj_typ,obj_subtcd,obj_subtyp,country,metro,lat,lon,reldate,nces_schid,nces_disid,st,sys_id,sch_id,level,sch_type,sch_type_text,sys_sch,school_district_nm,school_name,mobility,k12_enr_n,k12_fl_n,k12_rpl_n,k12_frpl_n,unmasked_k12_frpl_pct
16018834,PEARSON ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,31.297124,-82.879988,20211112,130009000013,1300090,GA,602,0190,Elementary,1,Regular School,602190,Atkinson County,Pearson Elementary School,9.6,572,437,55,492,86.013986013986
16018835,ATKINSON COUNTY HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,,31.297124,-82.879988,20211112,130009000015,1300090,GA,602,0103,High,1,Regular School,602103,Atkinson County,Atkinson County High School,6.7,466,322,52,374,80.2575107296137
16018836,WILLACOOCHEE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,31.297124,-82.879988,20211112,130009001965,1300090,GA,602,0187,Elementary,1,Regular School,602187,Atkinson County,Willacoochee Elementary School,29.1,151,125,12,137,90.7284768211921
16018839,BOOKER T WASHINGTON HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.742946,-84.427324,20211112,130012004174,1300120,GA,761,0315,High,1,Regular School,761315,Atlanta Public Schools,Booker T. Washington High School,9.3,848,848,0,848,100
16018841,LONG MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.676237,-84.378046,20211112,130012000017,1300120,GA,761,0173,Middle,1,Regular School,761173,Atlanta Public Schools,Long Middle School,14.8,775,775,0,775,100
16018842,WILLIAM M. BOYD ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.788407,-84.455589,20211112,130012000022,1300120,GA,761,1053,Elementary,1,Regular School,7611053,Atlanta Public Schools,Boyd Elementary School,9.8,449,449,0,449,100
16018843,"MARTIN LUTHER KING, JR. MIDDLE SCHOOL",School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.738871,-84.351502,20211112,130012000025,1300120,GA,761,0373,Middle,1,Regular School,761373,Atlanta Public Schools,King Middle School,12.5,871,871,0,871,100
16018844,DAVID T. HOWARD MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.781276,-84.36334,20211112,130012000027,1300120,GA,761,1563,Middle,1,Regular School,7611563,Atlanta Public Schools,David T Howard Middle School,6.8,1189,100,4,104,8.74684608915055
16018845,GARDEN HILLS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.827471,-84.367362,20211112,130012000029,1300120,GA,761,1560,Elementary,1,Regular School,7611560,Atlanta Public Schools,Garden Hills Elementary School,14.2,422,172,20,192,45.4976303317536
16018847,RIVERS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.80718,-84.40568,20211112,130012000036,1300120,GA,761,1066,Elementary,1,Regular School,7611066,Atlanta Public Schools,Rivers Elementary School,12.8,674,97,21,118,17.5074183976261
16018848,KIMBERLY ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.707895,-84.486707,20211112,130012000038,1300120,GA,761,1064,Elementary,1,Regular School,7611064,Atlanta Public Schools,Kimberly Elementary School,18.8,326,326,0,326,100
16018849,HUTCHINSON ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.683796,-84.40813,20211112,130012000039,1300120,GA,761,1063,Elementary,1,Regular School,7611063,Atlanta Public Schools,Hutchinson Elementary School,23.2,366,366,0,366,100
16018850,WOODSON PARK ACADEMY,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.770081,-84.450142,20211112,130012004224,1300120,GA,761,1415,Elementary,1,Regular School,7611415,Atlanta Public Schools,Woodson Park Academy,9.4,682,682,0,682,100
16018851,HUMPHRIES ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.675182,-84.365464,20211112,130012000043,1300120,GA,761,5562,Elementary,1,Regular School,7615562,Atlanta Public Schools,Humphries Elementary School,21.7,238,238,0,238,100
16018852,FRANK LEBBY STANTON ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.754929,-84.435256,20211112,130012000045,1300120,GA,761,5566,Elementary,1,Regular School,7615566,Atlanta Public Schools,F. L. Stanton Elementary School,7.1,211,211,0,211,100
16018854,TOOMER ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.750427,-84.319933,20211112,130012000052,1300120,GA,761,5567,Elementary,1,Regular School,7615567,Atlanta Public Schools,Toomer Elementary School,9.7,392,154,14,168,42.8571428571429
16018855,PAUL L. DUNBAR ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.739985,-84.39838,20211112,130012000054,1300120,GA,761,5558,Elementary,1,Regular School,7615558,Atlanta Public Schools,Dunbar Elementary School,8.9,283,283,0,283,100
16018856,SYLVAN HILLS MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.715878,-84.419956,20211112,130012000058,1300120,GA,761,0188,Middle,1,Regular School,761188,Atlanta Public Schools,Sylvan Hills Middle School,23.9,546,546,0,546,100
16018857,THOMAS HEATHE SLATER ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.706993,-84.391814,20211112,130012000059,1300120,GA,761,4066,Elementary,1,Regular School,7614066,Atlanta Public Schools,Slater Elementary School,8.1,445,445,0,445,100
16018858,PRICE MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.706537,-84.383472,20211112,130012000060,1300120,GA,761,0288,Middle,1,Regular School,761288,Atlanta Public Schools,Price Middle School,8.9,398,398,0,398,100
16018860,HENRY W. GRADY HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.779106,-84.373116,20211112,130012000066,1300120,GA,761,4560,High,1,Regular School,7614560,Atlanta Public Schools,Grady High School,9.4,1518,136,13,149,9.81554677206851
16018861,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.705285,-84.36059,20211112,130012000069,1300120,GA,761,5067,Elementary,1,Regular School,7615067,Atlanta Public Schools,Thomasville Heights Elementary School,5.8,292,292,0,292,100
16018862,FREDERICK WILSON BENTEEN ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.716653,-84.365622,20211112,130012000073,1300120,GA,761,5051,Elementary,1,Regular School,7615051,Atlanta Public Schools,Benteen Elementary School,5.7,246,246,0,246,100
